date,method,mode_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
2024-07-03,adapted,0.09785100647469328,0.08692335544627475,0.09785100647469328,0.0955673348333849,0.10086910326618244
2024-07-03,adapted,0.09980769069273339,0.08919719334682495,0.09980769069273339,0.09750830792025937,0.10274250979362944
2024-07-03,adapted,0.10176437491077352,0.09050909606255465,0.10176437491077352,0.09934349276817346,0.10448911542045236
2024-07-03,adapted,0.10372105912881364,0.09152996736813056,0.10372105912881364,0.1012914375862303,0.10677367343956709
2024-07-03,adapted,0.10567774334685377,0.09308399868046927,0.10567774334685377,0.1032141382252535,0.10880092681098537
2024-07-03,adapted,0.1076344275648939,0.09460980363937474,0.1076344275648939,0.10501871113968356,0.110891713884081
2024-07-03,adapted,0.10959111178293401,0.096117130943158,0.10959111178293401,0.10692812469965925,0.11290836988442106
2024-07-03,adapted,0.11154779600097414,0.09738895470150061,0.11154779600097414,0.10845077928392857,0.11491882810953903
2024-07-03,adapted,0.11350448021901427,0.09891275065232735,0.11350448021901427,0.11035618202936943,0.11673442977871976
2024-07-03,adapted,0.1154611644370544,0.10061482912925966,0.1154611644370544,0.11201217842726457,0.11839048346859807
2024-07-03,adapted,0.11741784865509451,0.10360362315297296,0.11741784865509451,0.1136516157818898,0.12030175038495076
2024-07-03,adapted,0.11937453287313464,0.10533285372150857,0.11937453287313464,0.11566690061547504,0.12234925178870527
2024-07-03,adapted,0.12133121709117477,0.1069279983477405,0.12133121709117477,0.11828602092116156,0.12436124861028458
2024-07-03,adapted,0.1232879013092149,0.10870059962368857,0.1232879013092149,0.12030559980455595,0.12583995749471782
2024-07-03,adapted,0.125244585527255,0.11068210499400015,0.125244585527255,0.12216489164168252,0.12816406005309955
2024-07-03,adapted,0.12720126974529514,0.11327121346668524,0.12720126974529514,0.12379756531373333,0.1301490148823875
2024-07-03,adapted,0.12915795396333526,0.11484545458728303,0.12915795396333526,0.12517477006084154,0.13200714128636107
2024-07-03,adapted,0.1311146381813754,0.1160974152642625,0.1311146381813754,0.12678769892364739,0.13365758140909814
2024-07-03,adapted,0.13307132239941552,0.11805604274104298,0.13307132239941552,0.12884650581750617,0.13622822431722617
2024-07-03,adapted,0.13503640440379916,0.1198793871149465,0.13503640440379916,0.13088269458990606,0.13847881182093988
2024-07-03,adapted,0.1369930886218393,0.12193925387732521,0.1369930886218393,0.13275459614244808,0.14051944059542393
2024-07-03,adapted,0.13894977283987942,0.12389432291754293,0.13894977283987942,0.13461866928107472,0.14254495788358285
2024-07-03,adapted,0.14090645705791954,0.12549920318077734,0.14090645705791954,0.13698234937938145,0.1446017762743201
2024-07-03,adapted,0.14286314127595967,0.12731508559229926,0.14286314127595967,0.1388692570454804,0.1467365746871673
2024-07-03,adapted,0.14481982549399977,0.1296878507846658,0.14481982549399977,0.14082425466639048,0.14898492339770386
2024-07-03,adapted,0.1467765097120399,0.13187204115845252,0.1467765097120399,0.14250373712188882,0.15093404963539248
2024-07-03,adapted,0.14873319393008003,0.13350119770178315,0.14873319393008003,0.14408301177070298,0.15343019539822275
2024-07-03,adapted,0.15068987814812015,0.13532429512476557,0.15068987814812015,0.14619948337973,0.1556744630589647
2024-07-03,adapted,0.15264656236616028,0.13689856553473645,0.15264656236616028,0.14812552616217667,0.15781230888492623
2024-07-03,adapted,0.1546032465842004,0.13906771140308763,0.1546032465842004,0.15003296579936817,0.16000187264817975
2024-07-03,adapted,0.15655993080224054,0.1426571221290118,0.15655993080224054,0.15183450804999796,0.16226280167162457
2024-07-03,adapted,0.15851661502028067,0.14393604421645254,0.15851661502028067,0.1538703855375748,0.1642369686690364
2024-07-03,adapted,0.16047329923832077,0.14571317382821905,0.16047329923832077,0.15620334092230811,0.16593298972156348
2024-07-03,adapted,0.1624299834563609,0.1478932604452859,0.1624299834563609,0.15800658192713454,0.16802626710062152
2024-07-03,adapted,0.16438666767440102,0.14972613270307536,0.16438666767440102,0.1602383828527955,0.1703297809135641
2024-07-03,adapted,0.16634335189244115,0.15207465045236718,0.16634335189244115,0.161815063654556,0.172155420025275
2024-07-03,adapted,0.16830003611048128,0.15334964509346785,0.16830003611048128,0.16360668427915717,0.17423883930766323
2024-07-03,adapted,0.1702567203285214,0.15512307468030306,0.1702567203285214,0.1653711996280941,0.17616081983947646
2024-07-03,adapted,0.17221340454656153,0.15700839615527715,0.17221340454656153,0.1670022477738478,0.17817735805769636
2024-07-03,adapted,0.17417008876460166,0.15934269953796623,0.17417008876460166,0.1692993750051392,0.18035129495403748
2024-07-03,adapted,0.1761267729826418,0.16126597158931733,0.1761267729826418,0.17158025182329614,0.18230652016809684
2024-07-03,adapted,0.1780834572006819,0.1634372512291602,0.1780834572006819,0.17335455131394104,0.1843697560561696
2024-07-03,adapted,0.18004014141872202,0.1656221496735509,0.18004014141872202,0.17522589528521107,0.1862830038325232
2024-07-03,adapted,0.18199682563676214,0.1683475276713345,0.18199682563676214,0.1777913442763868,0.18833474022727298
2024-07-03,adapted,0.18395350985480227,0.17120716892881588,0.18395350985480227,0.17941289214442438,0.19017735929481872
2024-07-03,adapted,0.1859101940728424,0.1730525714829579,0.1859101940728424,0.18226589692420309,0.19244906612704846
2024-07-03,adapted,0.18786687829088253,0.1755928662890036,0.18786687829088253,0.1843526035786425,0.1943743605471347
