year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2024,7,15,lat,Vecchia_mm20,1.0351,0.8663,-0.6455,hour_dummy_plus_lat_lon_ols,False,9.7922,0.2700,0.3322,1.7274,1.8602
2024,7,15,lon,Corridor_4x4_lag643,0.8522,0.7085,-0.4765,hour_dummy_plus_lat_lon_ols,False,8.5823,0.1778,0.2193,1.2521,1.1607
2024,7,15,lon,Debiased_Whittle,2.2867,1.9478,1.9478,hour_dummy_plus_lat_lon_ols,False,5.7560,0.1628,0.1749,1.1220,0.9061
2024,7,15,lon,Vecchia_mm20,1.6899,1.5461,-1.5461,hour_dummy_plus_lat_lon_ols,False,9.7922,0.2700,0.3322,1.7274,1.8602
2024,7,16,lat,Corridor_4x4_lag643,1.1988,1.0316,-0.2077,hour_dummy_plus_lat_lon_ols,False,11.2936,0.2398,0.2983,1.4535,1.0577
2024,7,16,lat,Debiased_Whittle,3.8558,3.1410,3.1410,hour_dummy_plus_lat_lon_ols,False,7.0349,0.1458,0.1710,0.7931,0.7850
2024,7,16,lat,Vecchia_mm20,3.0463,2.6948,-2.6948,hour_dummy_plus_lat_lon_ols,False,15.3430,0.4499,0.6122,2.7168,1.7487
2024,7,16,lon,Corridor_4x4_lag643,2.0055,1.8092,-1.8092,hour_dummy_plus_lat_lon_ols,False,11.2936,0.2398,0.2983,1.4535,1.0577
2024,7,16,lon,Debiased_Whittle,1.7091,1.2965,1.2404,hour_dummy_plus_lat_lon_ols,False,7.0349,0.1458,0.1710,0.7931,0.7850
2024,7,16,lon,Vecchia_mm20,4.0009,3.4054,-3.4054,hour_dummy_plus_lat_lon_ols,False,15.3430,0.4499,0.6122,2.7168,1.7487
2024,7,17,lat,Corridor_4x4_lag643,0.5867,0.5050,-0.0513,hour_dummy_plus_lat_lon_ols,False,7.2122,0.1691,0.1959,1.4368,1.4024
2024,7,17,lat,Debiased_Whittle,2.3718,2.1055,2.1055,hour_dummy_plus_lat_lon_ols,False,4.9837,0.1238,0.1270,1.0165,0.9986
2024,7,17,lat,Vecchia_mm20,1.4065,1.2503,-1.2389,hour_dummy_plus_lat_lon_ols,False,8.5758,0.3775,0.5159,3.2923,2.3482
2024,7,17,lon,Corridor_4x4_lag643,1.1555,1.0118,-1.0118,hour_dummy_plus_lat_lon_ols,False,7.2122,0.1691,0.1959,1.4368,1.4024
2024,7,17,lon,Debiased_Whittle,1.2920,1.0183,1.0183,hour_dummy_plus_lat_lon_ols,False,4.9837,0.1238,0.1270,1.0165,0.9986
2024,7,17,lon,Vecchia_mm20,1.9724,1.6777,-1.6666,hour_dummy_plus_lat_lon_ols,False,8.5758,0.3775,0.5159,3.2923,2.3482
2024,7,18,lat,Corridor_4x4_lag643,1.3754,1.1420,0.9195,hour_dummy_plus_lat_lon_ols,False,8.1956,0.1776,0.1994,1.1111,1.1101
2024,7,18,lat,Debiased_Whittle,2.3096,1.8965,1.8018,hour_dummy_plus_lat_lon_ols,False,7.3539,0.1322,0.1441,0.7567,0.7195
2024,7,18,lat,Vecchia_mm20,0.3424,0.2759,-0.1220,hour_dummy_plus_lat_lon_ols,False,9.5039,0.3134,0.3895,1.9715,1.7312
2024,7,18,lon,Corridor_4x4_lag643,0.6670,0.5378,-0.3646,hour_dummy_plus_lat_lon_ols,False,8.1956,0.1776,0.1994,1.1111,1.1101
2024,7,18,lon,Debiased_Whittle,0.9927,0.8501,0.4463,hour_dummy_plus_lat_lon_ols,False,7.3539,0.1322,0.1441,0.7567,0.7195
2024,7,18,lon,Vecchia_mm20,1.2799,1.1150,-1.0730,hour_dummy_plus_lat_lon_ols,False,9.5039,0.3134,0.3895,1.9715,1.7312
2024,7,19,lat,Corridor_4x4_lag643,0.6839,0.5941,0.1110,hour_dummy_plus_lat_lon_ols,False,7.6432,0.1627,0.2097,1.0625,1.0664
2024,7,19,lat,Debiased_Whittle,1.6656,1.4230,1.4230,hour_dummy_plus_lat_lon_ols,False,6.5419,0.1525,0.1925,0.7688,0.6585
2024,7,19,lat,Vecchia_mm20,0.4011,0.2866,-0.1432,hour_dummy_plus_lat_lon_ols,False,7.4946,0.2521,0.3476,1.4831,1.8371
2024,7,19,lon,Corridor_4x4_lag643,0.8411,0.6760,-0.5052,hour_dummy_plus_lat_lon_ols,False,7.6432,0.1627,0.2097,1.0625,1.0664
2024,7,19,lon,Debiased_Whittle,1.0848,0.8467,0.7471,hour_dummy_plus_lat_lon_ols,False,6.5419,0.1525,0.1925,0.7688,0.6585
2024,7,19,lon,Vecchia_mm20,0.7155,0.5637,-0.5637,hour_dummy_plus_lat_lon_ols,False,7.4946,0.2521,0.3476,1.4831,1.8371
2024,7,20,lat,Corridor_4x4_lag643,0.4665,0.3857,-0.0871,hour_dummy_plus_lat_lon_ols,False,8.3299,0.1749,0.2176,0.9311,1.1783
2024,7,20,lat,Debiased_Whittle,1.6457,1.3701,1.3701,hour_dummy_plus_lat_lon_ols,False,6.6531,0.1365,0.1595,0.9389,0.9803
2024,7,20,lat,Vecchia_mm20,0.4597,0.4112,-0.3788,hour_dummy_plus_lat_lon_ols,False,8.3881,0.2792,0.3884,1.4016,1.9060
2024,7,20,lon,Corridor_4x4_lag643,0.8216,0.6479,-0.6196,hour_dummy_plus_lat_lon_ols,False,8.3299,0.1749,0.2176,0.9311,1.1783
2024,7,20,lon,Debiased_Whittle,1.1205,0.8721,0.7069,hour_dummy_plus_lat_lon_ols,False,6.6531,0.1365,0.1595,0.9389,0.9803
2024,7,20,lon,Vecchia_mm20,0.7602,0.6696,-0.6051,hour_dummy_plus_lat_lon_ols,False,8.3881,0.2792,0.3884,1.4016,1.9060
2024,7,21,lat,Corridor_4x4_lag643,0.5157,0.4163,-0.1606,hour_dummy_plus_lat_lon_ols,False,6.7607,0.1638,0.1984,0.9784,0.9336
2024,7,21,lat,Debiased_Whittle,1.7101,1.4867,1.4867,hour_dummy_plus_lat_lon_ols,False,4.7664,0.1338,0.1481,0.9999,0.9041
2024,7,21,lat,Vecchia_mm20,1.3545,1.2239,-1.2239,hour_dummy_plus_lat_lon_ols,False,7.7461,0.2899,0.4103,1.5218,1.6940
2024,7,21,lon,Corridor_4x4_lag643,0.9370,0.8241,-0.8241,hour_dummy_plus_lat_lon_ols,False,6.7607,0.1638,0.1984,0.9784,0.9336
2024,7,21,lon,Debiased_Whittle,0.9561,0.7278,0.7134,hour_dummy_plus_lat_lon_ols,False,4.7664,0.1338,0.1481,0.9999,0.9041
2024,7,21,lon,Vecchia_mm20,1.7237,1.5039,-1.5039,hour_dummy_plus_lat_lon_ols,False,7.7461,0.2899,0.4103,1.5218,1.6940
2024,7,22,lat,Corridor_4x4_lag643,0.7895,0.6681,0.0201,hour_dummy_plus_lat_lon_ols,False,8.6371,0.1658,0.2127,0.8765,1.1697
2024,7,22,lat,Debiased_Whittle,0.8580,0.7114,-0.2322,hour_dummy_plus_lat_lon_ols,False,9.3726,0.1496,0.1845,0.8334,0.6890
