frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
high,30,49,34.9470,56.7172,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,20,1.0489,1.0471,0.9953,1.1075
high,30,49,34.9470,56.7172,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,20,1.0557,1.0534,1.0121,1.1027
very_high,50,69,57.8630,79.6333,matern_s03_nugget0,Matern s=0.3 nugget0,20,0.9078,0.9075,0.8244,1.0130
very_high,50,69,57.8630,79.6333,gc_a0p6_b0p3_nugget0,GC a=0.6 b=0.3 nugget0,20,0.8434,0.8412,0.7668,0.9431
very_high,50,69,57.8630,79.6333,gc_a0p6_b0p5_nugget0,GC a=0.6 b=0.5 nugget0,20,0.8445,0.8427,0.7673,0.9448
very_high,50,69,57.8630,79.6333,gc_a0p6_b1p0_nugget0,GC a=0.6 b=1 nugget0,20,0.8469,0.8456,0.7688,0.9480
very_high,50,69,57.8630,79.6333,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,20,0.8670,0.8653,0.7896,0.9666
very_high,50,69,57.8630,79.6333,gc_a0p65_b0p5_nugget0,GC a=0.65 b=0.5 nugget0,20,0.8690,0.8678,0.7909,0.9693
very_high,50,69,57.8630,79.6333,gc_a0p65_b1p0_nugget0,GC a=0.65 b=1 nugget0,20,0.8732,0.8725,0.7941,0.9742
very_high,50,69,57.8630,79.6333,gc_a0p7_b0p3_nugget0,GC a=0.7 b=0.3 nugget0,20,0.8875,0.8864,0.8098,0.9865
very_high,50,69,57.8630,79.6333,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,20,0.8907,0.8899,0.8122,0.9902
very_high,50,69,57.8630,79.6333,gc_a0p7_b1p0_nugget0,GC a=0.7 b=1 nugget0,20,0.8972,0.8970,0.8178,0.9973
very_high,50,69,57.8630,79.6333,gc_a0p75_b0p3_nugget0,GC a=0.75 b=0.3 nugget0,20,0.9055,0.9047,0.8279,1.0032
very_high,50,69,57.8630,79.6333,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,20,0.9099,0.9096,0.8315,1.0081
very_high,50,69,57.8630,79.6333,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,20,0.9194,0.9196,0.8402,1.0178
very_high,50,69,57.8630,79.6333,gc_a0p8_b0p3_nugget0,GC a=0.8 b=0.3 nugget0,20,0.9212,0.9208,0.8441,1.0174
very_high,50,69,57.8630,79.6333,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,20,0.9271,0.9272,0.8494,1.0235
very_high,50,69,57.8630,79.6333,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,20,0.9399,0.9404,0.8616,1.0360
very_high,50,69,57.8630,79.6333,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,20,0.9351,0.9349,0.8588,1.0294
very_high,50,69,57.8630,79.6333,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,20,0.9426,0.9429,0.8658,1.0368
very_high,50,69,57.8630,79.6333,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,20,0.9591,0.9598,0.8821,1.0524
very_high,50,69,57.8630,79.6333,gc_a0p9_b0p3_nugget0,GC a=0.9 b=0.3 nugget0,20,0.9475,0.9474,0.8722,1.0395
very_high,50,69,57.8630,79.6333,gc_a0p9_b0p5_nugget0,GC a=0.9 b=0.5 nugget0,20,0.9566,0.9570,0.8810,1.0482
very_high,50,69,57.8630,79.6333,gc_a0p9_b1p0_nugget0,GC a=0.9 b=1 nugget0,20,0.9770,0.9779,0.9018,1.0670
very_high,50,69,57.8630,79.6333,gc_a1p0_b0p3_nugget0,GC a=1 b=0.3 nugget0,20,0.9681,0.9683,0.8954,1.0554
very_high,50,69,57.8630,79.6333,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,20,0.9805,0.9821,0.9082,1.0664
very_high,50,69,57.8630,79.6333,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,20,1.0094,1.0134,0.9388,1.0915
