date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,parameter,estimate,loss,n_grid,n_valid
20240706,6,2024_07_y24m07day06_hm06:52,4,x4,nugget0,0.5000,nugget,0.0000,1.8873,4560,4345
20240706,6,2024_07_y24m07day06_hm06:52,2,x2,nugget0,0.5000,sigmasq,20.5673,1.6856,18126,17319
20240706,6,2024_07_y24m07day06_hm06:52,2,x2,nugget0,0.5000,range,0.1950,1.6856,18126,17319
20240706,6,2024_07_y24m07day06_hm06:52,2,x2,nugget0,0.5000,nugget,0.0000,1.6856,18126,17319
20240706,6,2024_07_y24m07day06_hm06:52,1,x1,nugget0,0.5000,sigmasq,19.9268,1.5377,72504,69393
20240706,6,2024_07_y24m07day06_hm06:52,1,x1,nugget0,0.5000,range,0.1346,1.5377,72504,69393
20240706,6,2024_07_y24m07day06_hm06:52,1,x1,nugget0,0.5000,nugget,0.0000,1.5377,72504,69393
20240706,7,2024_07_y24m07day06_hm07:52,8,x8,nugget0,0.5000,sigmasq,17.6337,1.8239,1160,1109
20240706,7,2024_07_y24m07day06_hm07:52,8,x8,nugget0,0.5000,range,0.4668,1.8239,1160,1109
20240706,7,2024_07_y24m07day06_hm07:52,8,x8,nugget0,0.5000,nugget,0.0000,1.8239,1160,1109
20240706,7,2024_07_y24m07day06_hm07:52,4,x4,nugget0,0.5000,sigmasq,19.4315,1.7934,4560,4355
20240706,7,2024_07_y24m07day06_hm07:52,4,x4,nugget0,0.5000,range,0.2893,1.7934,4560,4355
20240706,7,2024_07_y24m07day06_hm07:52,4,x4,nugget0,0.5000,nugget,0.0000,1.7934,4560,4355
20240706,7,2024_07_y24m07day06_hm07:52,2,x2,nugget0,0.5000,sigmasq,18.5056,1.8191,18126,17385
20240706,7,2024_07_y24m07day06_hm07:52,2,x2,nugget0,0.5000,range,0.1715,1.8191,18126,17385
20240706,7,2024_07_y24m07day06_hm07:52,2,x2,nugget0,0.5000,nugget,0.0000,1.8191,18126,17385
20240706,7,2024_07_y24m07day06_hm07:52,1,x1,nugget0,0.5000,sigmasq,17.6346,1.8682,72504,69655
20240706,7,2024_07_y24m07day06_hm07:52,1,x1,nugget0,0.5000,range,0.1197,1.8682,72504,69655
20240706,7,2024_07_y24m07day06_hm07:52,1,x1,nugget0,0.5000,nugget,0.0000,1.8682,72504,69655
