year,month,calendar_day,slice_in_day,time_position,time_key,resolution_stride,resolution_label,variant,model_family,model_label,smooth,gc_alpha,gc_beta,n_valid_spectrum,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_gc_alpha,est_gc_beta,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,21,24.63476065049183,24.62149265069659,218,79.63329605624102,9.872531261028644,9.454565817045385
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,22,25.78056347144494,25.753220292042254,238,79.63329605624102,7.235508244403902,8.633104439989046
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,23,26.926366292398047,26.888973344881837,242,79.63329605624102,7.6829990760563955,7.9199582631842125
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,24,28.072169113351155,28.044035971152297,266,79.63329605624102,8.46146296055267,7.407356652262855
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,25,29.217971934304263,29.226126552847166,274,79.63329605624102,6.696792937839245,6.875508196873869
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,26,30.36377475525737,30.35905022076347,266,79.63329605624102,7.605392660760043,6.429522038162385
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,27,31.509577576210482,31.508974851516133,302,79.63329605624102,6.709420374622397,6.035041065556477
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,28,32.65538039716359,32.66670839705195,292,79.63329605624102,4.948232672763689,5.683063560988892
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,29,33.8011832181167,33.80557707630151,314,79.63329605624102,6.332677776828819,5.380507399015928
2023,7,4,6,30,2023_07_y23m07day04_hm06:48,1,x1,gc_a0p7_b3p0_nugget0,cauchy,GC a=0.7 b=3 nugget0,0.7,0.7,3.0,17593,11.532782723415059,1.6172372856756838,1.4911432706230539,1.6172372856756838,0.0,0.7,3.0,30,34.946986039069806,34.978238907489704,330,79.63329605624102,5.098980053407951,5.105100159194445
