date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,6,7.447718336195205,7.484202811445298,72,42.96760578574156,24.56453198260201,34.30655349254518,80.1313509700582,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,7,8.593521157148313,8.64988424118374,78,42.96760578574156,19.148356026427475,28.403999905916425,64.85425608740042,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,8,9.739323978101421,9.828990003837582,90,42.96760578574156,16.653488295687456,23.6878583317702,52.37540163954088,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,9,10.885126799054529,10.932120873774602,94,42.96760578574156,11.534268342080248,19.98207379474679,43.08081725667178,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,10,12.030929620007637,12.063865932841784,118,42.96760578574156,13.028994268571505,16.929231721819043,35.44403923079438,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,11,13.176732440960746,13.166390002837563,108,42.96760578574156,16.287833372016788,14.530820250173086,29.481575438956927,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,12,14.322535261913854,14.273893849907077,132,42.96760578574156,12.15857682876725,12.655837077344936,24.666902454949174,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,13,15.468338082866964,15.425211497575258,150,42.96760578574156,6.342615911254516,11.009418679182644,20.641300269730564,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,14,16.614140903820072,16.59460817503016,146,42.96760578574156,5.426743455805073,9.726899948825897,17.355425426138716,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,15,17.75994372477318,17.777808040803787,170,42.96760578574156,6.456697304054025,8.704784240846717,14.668550800452028,11111.91883816286
