n,true_smooth,fit_smooth,rep,fit_type,loss_per_obs,success,n_iter,n_eval,fit_s,message,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
800,0.5000,0.5000,0,nugget_only,1.8734,True,4,12,0.1290,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.9813,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,nugget_only,1.8363,True,3,10,0.3696,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,1.9913,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,sigma_only_nugget0,2.1191,True,7,18,0.0161,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,121.0372,0.3000,0.0000,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,sigma_only_nugget0,2.1091,True,6,14,0.0409,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,237.5142,0.3000,0.0000,12.0000,0.3000,2.0000
800,0.5000,0.5000,0,sigma_only_nugget0,2.1584,True,1,4,0.0298,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,sigma_only_nugget0,2.6764,True,0,2,0.0686,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
200,0.5000,0.5000,0,range_only_nugget0,2.0469,True,6,22,0.0313,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0249,0.0000,12.0000,0.3000,2.0000
400,0.5000,0.5000,0,range_only_nugget0,2.0414,True,5,14,0.0309,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0130,0.0000,12.0000,0.3000,2.0000
800,0.5000,0.5000,0,range_only_nugget0,2.0892,True,4,12,0.1206,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0075,0.0000,12.0000,0.3000,2.0000
1600,0.5000,0.5000,0,range_only_nugget0,2.0617,True,5,12,0.4511,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0032,0.0000,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,full_nugget_free,1.9354,True,11,52,0.2991,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.2656,0.0320,2.0084,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,full_nugget_free,1.8728,True,7,40,0.5969,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.3116,0.0503,2.0034,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,full_nugget_free,1.8829,True,10,48,2.6057,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0114,0.0760,2.1372,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,full_nugget_free,1.8385,True,11,68,14.8214,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.4851,0.0488,2.0945,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,full_nugget0,2.0237,True,11,60,0.2871,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.1223,0.0045,0.0000,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,full_nugget0,2.0868,True,7,27,0.4534,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.8661,0.0030,0.0000,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,full_nugget0,2.3227,True,9,33,1.8799,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.5863,0.0030,0.0000,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,full_nugget0,2.5555,True,6,24,5.1299,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165.6107,0.0030,0.0000,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,sigma_only_nugget_free,2.0105,True,6,14,0.0574,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,147.1059,0.3000,2.0000,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,sigma_only_nugget_free,1.8992,True,3,10,0.1730,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.6895,0.3000,2.0000,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,sigma_only_nugget_free,1.8960,True,1,4,0.2097,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,2.0000,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,sigma_only_nugget_free,1.8487,True,0,2,0.4473,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,2.0000,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,range_only_nugget_free,1.9650,True,4,12,0.0698,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0786,2.0000,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,range_only_nugget_free,1.8811,True,4,12,0.1741,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0916,2.0000,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,range_only_nugget_free,1.8839,True,3,10,0.6017,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0710,2.0000,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,range_only_nugget_free,1.8406,True,1,6,1.2297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0712,2.0000,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,nugget_only,2.0224,True,6,16,0.0785,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,2.7813,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,nugget_only,1.9112,True,5,20,0.5369,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.3259,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,nugget_only,1.9410,True,4,12,0.7194,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.5106,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,nugget_only,1.8743,True,3,18,3.9690,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,2.3124,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,sigma_only_nugget0,477.2714,True,1,4,0.0274,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,sigma_only_nugget0,3902.4335,True,0,2,0.0246,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,sigma_only_nugget0,29096.1646,True,0,2,0.1203,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,sigma_only_nugget0,248551.4273,True,0,2,0.4130,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
200,0.5000,1.5000,0,range_only_nugget0,2.1485,True,5,30,0.1649,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0076,0.0000,12.0000,0.3000,2.0000
400,0.5000,1.5000,0,range_only_nugget0,2.1622,True,7,18,0.2696,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0038,0.0000,12.0000,0.3000,2.0000
800,0.5000,1.5000,0,range_only_nugget0,2.4885,True,1,4,0.2599,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0030,0.0000,12.0000,0.3000,2.0000
1600,0.5000,1.5000,0,range_only_nugget0,7.6436,True,0,2,0.4525,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0030,0.0000,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,full_nugget_free,1.8069,True,10,52,0.5838,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.2241,1.0000,1.3753,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,full_nugget_free,1.7370,True,5,28,0.8160,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.5424,1.0000,1.5202,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,full_nugget_free,1.8199,True,11,52,6.3069,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.5049,1.0000,1.8339,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,full_nugget_free,1.7978,True,6,32,13.2536,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9821,1.0000,1.9759,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,full_nugget0,1.8976,True,10,36,0.3928,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.5670,0.6030,0.0000,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,full_nugget0,1.9003,True,15,57,2.9573,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.6834,0.0657,0.0000,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,full_nugget0,1.9790,True,12,45,9.8103,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.2089,0.2333,0.0000,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,full_nugget0,1.9821,True,14,60,40.7727,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0645,0.0081,0.0000,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,sigma_only_nugget_free,1.8576,True,4,12,0.1330,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.3584,0.3000,2.0000,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,sigma_only_nugget_free,1.7619,True,4,12,0.4684,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0230,0.3000,2.0000,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,sigma_only_nugget_free,1.8331,True,4,12,1.8149,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.4983,0.3000,2.0000,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,sigma_only_nugget_free,1.8013,True,5,14,7.3732,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.2477,0.3000,2.0000,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,range_only_nugget_free,1.8442,True,1,4,0.0523,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,range_only_nugget_free,1.7870,True,0,2,0.0534,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,range_only_nugget_free,1.8335,True,0,2,0.2291,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,range_only_nugget_free,1.8204,True,0,2,0.8374,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,nugget_only,1.8530,True,2,10,0.1037,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,0.7918,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,nugget_only,1.8017,True,4,12,0.4805,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.0771,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,nugget_only,1.8568,True,4,12,1.8142,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.5355,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,nugget_only,1.8412,True,4,12,6.2894,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.6957,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,sigma_only_nugget0,1.8991,True,5,14,0.1398,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.3175,0.3000,0.0000,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,sigma_only_nugget0,1.9033,True,5,14,0.6461,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.0768,0.3000,0.0000,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,sigma_only_nugget0,1.9790,True,5,14,2.1167,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54.8461,0.3000,0.0000,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,sigma_only_nugget0,1.9909,True,4,12,6.4655,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,85.1912,0.3000,0.0000,12.0000,0.3000,2.0000
200,1.5000,0.3000,0,range_only_nugget0,1.9132,True,4,12,0.1787,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.1396,0.0000,12.0000,0.3000,2.0000
400,1.5000,0.3000,0,range_only_nugget0,1.9004,True,5,14,0.7971,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0600,0.0000,12.0000,0.3000,2.0000
800,1.5000,0.3000,0,range_only_nugget0,2.0111,True,4,12,2.4837,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0281,0.0000,12.0000,0.3000,2.0000
1600,1.5000,0.3000,0,range_only_nugget0,1.9826,True,4,12,7.4859,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0109,0.0000,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,full_nugget_free,1.7911,True,9,44,0.0522,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.7729,1.0000,1.6128,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,full_nugget_free,1.7284,True,5,32,0.0849,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.5910,1.0000,1.6017,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,full_nugget_free,1.8076,True,12,56,0.5270,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.7130,1.0000,1.9286,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,full_nugget_free,1.7941,True,7,36,1.3226,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.1984,1.0000,2.0096,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,full_nugget0,2.0079,True,13,45,0.0499,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.0933,0.0985,0.0000,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,full_nugget0,2.0031,True,13,54,0.1289,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.2420,0.0133,0.0000,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,full_nugget0,2.0996,True,11,39,0.3742,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.2007,0.0265,0.0000,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,full_nugget0,2.0665,True,11,42,1.5256,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10.7031,0.0030,0.0000,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,sigma_only_nugget_free,1.8246,True,5,14,0.0184,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.5627,0.3000,2.0000,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,sigma_only_nugget_free,1.7466,True,5,14,0.0384,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.7599,0.3000,2.0000,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,sigma_only_nugget_free,1.8161,True,4,12,0.1178,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.8854,0.3000,2.0000,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,sigma_only_nugget_free,1.7964,True,5,14,0.5392,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7342,0.3000,2.0000,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,range_only_nugget_free,1.8008,True,1,4,0.0063,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,range_only_nugget_free,1.7442,True,0,2,0.0121,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,range_only_nugget_free,1.8081,True,0,2,0.0155,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,range_only_nugget_free,1.7988,True,0,2,0.0844,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,1.0000,2.0000,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,nugget_only,1.8243,True,4,12,0.0101,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,1.4308,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,nugget_only,1.7633,True,4,12,0.0385,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,1.4986,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,nugget_only,1.8253,True,5,14,0.1329,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.3000,1.8674,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,nugget_only,1.8146,True,4,12,0.4687,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.9522,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,sigma_only_nugget0,2.0150,True,7,18,0.0302,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98.2863,0.3000,0.0000,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,sigma_only_nugget0,2.0466,True,6,14,0.0335,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,209.5950,0.3000,0.0000,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,sigma_only_nugget0,2.1736,True,1,4,0.0251,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,sigma_only_nugget0,2.6813,True,0,2,0.0889,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
200,1.5000,0.5000,0,range_only_nugget0,2.0498,True,5,14,0.0122,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0389,0.0000,12.0000,0.3000,2.0000
400,1.5000,0.5000,0,range_only_nugget0,2.0041,True,5,14,0.0525,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0156,0.0000,12.0000,0.3000,2.0000
800,1.5000,0.5000,0,range_only_nugget0,2.1757,True,4,12,0.1135,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0085,0.0000,12.0000,0.3000,2.0000
1600,1.5000,0.5000,0,range_only_nugget0,2.0689,True,5,12,0.4177,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0032,0.0000,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,full_nugget_free,1.7756,True,12,56,0.2560,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22.6025,0.5842,1.7506,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,full_nugget_free,1.7244,True,12,60,0.8530,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.3071,0.2987,1.6503,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,full_nugget_free,1.7994,True,13,64,3.8313,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.9489,0.4541,1.9983,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,full_nugget_free,1.7907,True,18,80,17.2685,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.0951,0.2747,2.0283,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,full_nugget0,2.3135,True,9,48,0.2059,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25.3174,0.0124,0.0000,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,full_nugget0,2.1757,True,11,54,0.7814,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.5855,0.0036,0.0000,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,full_nugget0,2.4105,True,7,30,1.7380,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.6476,0.0031,0.0000,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,full_nugget0,2.5543,True,6,24,5.2504,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,165.2178,0.0030,0.0000,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,sigma_only_nugget_free,1.7883,True,2,8,0.0366,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10.2281,0.3000,2.0000,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,sigma_only_nugget_free,1.7328,True,3,10,0.1363,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9.0024,0.3000,2.0000,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,sigma_only_nugget_free,1.8004,True,4,12,0.6775,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.1981,0.3000,2.0000,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,sigma_only_nugget_free,1.7908,True,3,10,2.2614,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.3548,0.3000,2.0000,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,range_only_nugget_free,1.7812,True,6,14,0.0722,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.4747,2.0000,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,range_only_nugget_free,1.7329,True,5,14,0.2031,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3376,2.0000,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,range_only_nugget_free,1.8005,True,3,10,0.6341,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3275,2.0000,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,range_only_nugget_free,1.7910,True,3,10,2.2599,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3514,2.0000,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,nugget_only,1.7839,True,6,16,0.0767,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.7292,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,nugget_only,1.7248,True,3,14,0.1753,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.6479,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,nugget_only,1.8006,True,5,14,0.8111,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,1.9947,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,nugget_only,1.7913,True,3,10,2.1950,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3000,2.0274,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,sigma_only_nugget0,381.1250,True,1,4,0.0238,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,sigma_only_nugget0,3586.2866,True,0,2,0.0286,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,sigma_only_nugget0,29839.3384,True,0,2,0.1378,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,sigma_only_nugget0,247788.1746,True,0,2,0.4007,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,300.0000,0.3000,0.0000,12.0000,0.3000,2.0000
200,1.5000,1.5000,0,range_only_nugget0,2.3921,True,8,28,0.1030,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0098,0.0000,12.0000,0.3000,2.0000
400,1.5000,1.5000,0,range_only_nugget0,2.1889,True,6,18,0.2785,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.0041,0.0000,12.0000,0.3000,2.0000
800,1.5000,1.5000,0,range_only_nugget0,2.6874,True,1,4,0.2520,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0030,0.0000,12.0000,0.3000,2.0000
1600,1.5000,1.5000,0,range_only_nugget0,7.6272,True,0,2,0.4614,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.0000,0.0030,0.0000,12.0000,0.3000,2.0000
