date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_raw,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,47,54.42563399527265,54.389296288586614,0,10.885126799054529,,6.830961283268481,5.316588974314089,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,48,55.571436816225756,55.55451364670018,0,10.885126799054529,,6.8309587733041965,5.316587020789851,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,49,56.717239637178864,56.703802024095104,0,10.885126799054529,,6.830956496785593,5.316585248958155,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,50,57.86304245813197,57.8464178745161,0,10.885126799054529,,6.83095440907522,5.316583624077339,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,51,59.00884527908508,59.01680172468367,0,10.885126799054529,,6.830952436099982,5.316582088495748,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,52,60.15464810003819,60.18481906490257,0,10.885126799054529,,6.830950615546111,5.3165806715448625,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,53,61.300450920991295,61.316496119891646,0,10.885126799054529,,6.830948982748018,5.316579400725724,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,54,62.4462537419444,62.47812958804519,0,10.885126799054529,,6.830947427166396,5.316578190004749,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,55,63.59205656289751,63.61583170564809,0,10.885126799054529,,6.830946011382975,5.316577088089775,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,56,64.73785938385063,64.75341049599007,0,10.885126799054529,,6.83094469394786,5.316576062720033,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,57,65.88366220480373,65.89391875623019,0,10.885126799054529,,6.830943462527146,5.316575104295952,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,58,67.02946502575685,67.00481738400732,0,10.885126799054529,,6.83094234194475,5.316574232138175,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,59,68.17526784670994,68.14676835534127,0,10.885126799054529,,6.830941265314497,5.316573394188683,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,60,69.32107066766307,69.30713817867169,0,10.885126799054529,,6.830940242416746,5.316572598059606,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,61,70.46687348861616,70.46202857561308,0,10.885126799054529,,6.830939290302445,5.316571857021824,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,62,71.61267630956928,71.61042320910808,0,10.885126799054529,,6.83093840358281,5.316571166881206,0.7783075842248378
