smooth,resolution_stride,resolution_label,k_bin,k_mid,effective_k_max,data_spectrum,theory_spectrum_scaled,n_hours
0.3,2,x2,35,6.4737864880980425,6.337016351025548,7.1531502839560455,1.3857150094965511,8
0.3,2,x2,36,6.656146670861368,6.337016351025548,8.036408281822332,1.2882611567476414,8
0.3,2,x2,37,6.8385068536246925,6.337016351025548,9.31841679389687,1.199465535122594,8
0.3,2,x2,38,7.020867036388018,6.337016351025548,11.048808579365964,1.1206942166041483,8
0.3,2,x2,39,7.2032272191513425,6.337016351025548,10.528643178518216,1.0489291817904343,8
0.3,2,x2,40,7.385587401914668,6.337016351025548,11.502984897189963,0.9835850276045879,8
0.3,2,x2,41,7.567947584677993,6.337016351025548,23.346709479072263,0.9236739387481142,8
0.3,2,x2,42,7.750307767441319,6.337016351025548,47.69900996619971,0.8676760465439898,8
0.3,2,x2,43,7.932667950204642,6.337016351025548,24.935949330583174,0.8178843753715642,8
0.3,2,x2,44,8.115028132967968,6.337016351025548,6.695137839320981,0.7706872820408469,8
0.3,2,x2,45,8.297388315731293,6.337016351025548,6.292328954317877,0.7273282370032328,8
0.3,2,x2,46,8.479748498494619,6.337016351025548,5.628041795030642,0.6889461923451757,8
0.3,2,x2,47,8.662108681257944,6.337016351025548,5.493242108772482,0.6518253680572422,8
0.3,2,x2,48,8.84446886402127,6.337016351025548,6.1747573778822735,0.616955651262276,8
0.3,2,x2,49,9.026829046784595,6.337016351025548,6.391032112429149,0.5850546424128281,8
0.3,2,x2,50,9.209189229547919,6.337016351025548,6.975325632760779,0.5555553106761671,8
0.3,2,x2,51,9.391549412311244,6.337016351025548,7.3961743166923295,0.5274455663410555,8
0.3,2,x2,52,9.57390959507457,6.337016351025548,7.946062660690426,0.5012978965397275,8
0.3,2,x2,53,9.756269777837895,6.337016351025548,8.131485233107263,0.4776603238443617,8
0.3,2,x2,54,9.93862996060122,6.337016351025548,9.822580814572335,0.454967947436674,8
0.3,2,x2,55,10.120990143364544,6.337016351025548,10.033199212744718,0.4341592326884883,8
0.3,2,x2,56,10.30335032612787,6.337016351025548,11.302688373271174,0.41465312531159165,8
0.3,2,x2,57,10.485710508891195,6.337016351025548,12.11692236990411,0.39628949909823513,8
0.3,2,x2,58,10.66807069165452,6.337016351025548,11.241790888485987,0.37946224115864935,8
0.3,2,x2,59,10.850430874417846,6.337016351025548,16.589439662865647,0.36318310180974284,8
0.3,2,x2,60,11.032791057181171,6.337016351025548,31.33124004901777,0.3476100509581299,8
0.3,2,x2,61,11.215151239944497,6.337016351025548,57.37787666560143,0.3330153240524307,8
0.3,2,x2,62,11.39751142270782,6.337016351025548,40.59895846438303,0.3193319941564804,8
0.3,2,x2,63,11.579871605471146,6.337016351025548,9.10961238038637,0.30655292258575084,8
0.3,2,x2,64,11.762231788234471,6.337016351025548,11.342181465861497,0.2943108596166181,8
0.3,2,x2,65,11.944591970997797,6.337016351025548,11.091049753873769,0.282735736848129,8
0.3,2,x2,66,12.12695215376112,6.337016351025548,12.909459650581882,0.2721701238469515,8
0.3,2,x2,67,12.309312336524446,6.337016351025548,17.042545157201694,0.2615768235730486,8
0.3,2,x2,68,12.491672519287771,6.337016351025548,19.57414457815652,0.25142299478677294,8
0.3,2,x2,69,12.674032702051097,6.337016351025548,23.63044376798626,0.24255886744328845,8
0.3,2,x1,0,,,,,0
0.3,2,x1,1,,,,,0
0.3,2,x1,2,,,,,0
0.3,2,x1,3,,,,,0
0.3,2,x1,4,,,,,0
0.3,2,x1,5,,,,,0
0.3,2,x1,6,,,,,0
0.3,2,x1,7,,,,,0
0.3,2,x1,8,,,,,0
0.3,2,x1,9,,,,,0
0.3,2,x1,10,,,,,0
0.3,2,x1,11,,,,,0
0.3,2,x1,12,,,,,0
0.3,2,x1,13,,,,,0
0.3,2,x1,14,,,,,0
0.3,2,x1,15,,,,,0
0.3,2,x1,16,,,,,0
0.3,2,x1,17,,,,,0
0.3,2,x1,18,,,,,0
0.3,2,x1,19,,,,,0
0.3,2,x1,20,,,,,0
0.3,2,x1,21,,,,,0
0.3,2,x1,22,,,,,0
0.3,2,x1,23,,,,,0
0.3,2,x1,24,,,,,0
0.3,2,x1,25,,,,,0
0.3,2,x1,26,,,,,0
0.3,2,x1,27,,,,,0
0.3,2,x1,28,,,,,0
0.3,2,x1,29,,,,,0
0.3,2,x1,30,,,,,0
0.3,2,x1,31,,,,,0
0.3,2,x1,32,,,,,0
0.3,2,x1,33,,,,,0
0.3,2,x1,34,,,,,0
0.3,2,x1,35,,,,,0
0.3,2,x1,36,,,,,0
0.3,2,x1,37,,,,,0
0.3,2,x1,38,,,,,0
0.3,2,x1,39,,,,,0
0.3,2,x1,40,,,,,0
0.3,2,x1,41,,,,,0
0.3,2,x1,42,,,,,0
0.3,2,x1,43,,,,,0
0.3,2,x1,44,,,,,0
0.3,2,x1,45,,,,,0
0.3,2,x1,46,,,,,0
0.3,2,x1,47,,,,,0
0.3,2,x1,48,,,,,0
0.3,2,x1,49,,,,,0
0.3,2,x1,50,,,,,0
0.3,2,x1,51,,,,,0
0.3,2,x1,52,,,,,0
0.3,2,x1,53,,,,,0
0.3,2,x1,54,,,,,0
0.3,2,x1,55,,,,,0
0.3,2,x1,56,,,,,0
0.3,2,x1,57,,,,,0
0.3,2,x1,58,,,,,0
0.3,2,x1,59,,,,,0
0.3,2,x1,60,,,,,0
0.3,2,x1,61,,,,,0
0.3,2,x1,62,,,,,0
0.3,2,x1,63,,,,,0
0.3,2,x1,64,,,,,0
0.3,2,x1,65,,,,,0
