year,month,model_variant,model_label,direction,bin_idx,k_mid,n_days,loss_median,loss_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,ratio_EI_over_continuous_p10,ratio_EI_over_continuous_p90,whitened_ratio_mean,whitened_ratio_median,whitened_ratio_p10,whitened_ratio_p90,global_scale_mean,profile_sigmasq_mean
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,39,6.829663,30,,,0.089980,0.090103,0.087349,0.085349,0.082982,0.989444,1.002365,0.718216,1.285536,1.020016,1.020976,0.763242,1.252481,1.059773,1.019055,1.007224,1.207843,1.021224,1.028736,0.763728,1.234961,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,40,7.002566,30,,,0.083068,0.085664,0.083061,0.081173,0.078942,0.963384,0.941946,0.664534,1.281593,0.989977,0.944137,0.675730,1.329343,1.058927,1.018840,1.007147,1.179614,0.990830,0.951698,0.673174,1.333147,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,41,7.175469,30,,,0.076192,0.083647,0.081096,0.078811,0.076654,0.892510,0.897898,0.518239,1.297630,0.914076,0.921604,0.545004,1.332225,1.066708,1.020237,1.006887,1.230594,0.921240,0.930537,0.538498,1.339510,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,42,7.348372,30,,,0.071970,0.082504,0.079986,0.077982,0.075852,0.855989,0.776884,0.440672,1.300384,0.882828,0.785547,0.461058,1.335284,1.062377,1.018933,1.006881,1.191672,0.887811,0.813028,0.467952,1.330783,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,43,7.521275,30,,,0.072778,0.080382,0.077954,0.075904,0.073841,0.898616,0.914404,0.546136,1.155869,0.921948,0.897071,0.567110,1.168405,1.064125,1.020180,1.007016,1.218887,0.923576,0.896294,0.580691,1.170795,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,44,7.694178,30,,,0.070350,0.077422,0.075107,0.073338,0.071356,0.915603,0.827554,0.485574,1.424290,0.939869,0.844974,0.494218,1.437362,1.060232,1.021533,1.007138,1.177470,0.937435,0.851171,0.496793,1.438969,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,45,7.867081,30,,,0.072002,0.076901,0.074599,0.072701,0.070740,0.937551,0.867966,0.568872,1.371789,0.968598,0.894004,0.585859,1.461597,1.063346,1.021709,1.007165,1.219654,0.975729,0.895454,0.583406,1.505128,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,46,8.039983,30,,,0.071873,0.075201,0.072959,0.071074,0.069164,0.946740,0.923958,0.544719,1.387348,0.968649,0.975356,0.600894,1.411130,1.063541,1.020053,1.006739,1.218204,0.972384,0.973822,0.603456,1.410866,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,47,8.212886,30,,,0.075594,0.073082,0.070913,0.069066,0.067219,1.030827,1.069776,0.513467,1.436158,1.051125,1.071226,0.537730,1.428605,1.063504,1.022960,1.006445,1.192041,1.053496,1.079846,0.542875,1.419372,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,48,8.385789,30,,,0.062035,0.071965,0.069827,0.068040,0.066226,0.868964,0.831831,0.673753,1.108686,0.897138,0.873952,0.689481,1.127886,1.062959,1.021966,1.006538,1.181985,0.898536,0.883782,0.695146,1.132347,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,49,8.558692,30,,,0.066152,0.070970,0.068851,0.067068,0.065284,0.950577,0.864346,0.553184,1.467940,0.974095,0.943404,0.577310,1.455441,1.064287,1.019704,1.006773,1.161965,0.976343,0.978769,0.575763,1.452648,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,50,8.731595,30,,,0.066544,0.069690,0.067631,0.065901,0.064153,0.950495,0.950890,0.639207,1.295156,0.976299,0.974790,0.701149,1.274362,1.063373,1.018635,1.007234,1.163521,0.979965,0.974909,0.702032,1.274843,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,51,8.904498,30,,,0.062806,0.068263,0.066240,0.064470,0.062767,0.937697,0.822514,0.601758,1.399711,0.964405,0.857092,0.644214,1.459006,1.065187,1.019068,1.007434,1.199468,0.971581,0.858761,0.670679,1.499942,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,52,9.077401,30,,,0.069491,0.067980,0.065965,0.064130,0.062437,0.994935,0.912150,0.684759,1.540083,1.025827,0.921878,0.701280,1.553866,1.067133,1.018835,1.007340,1.209737,1.039608,0.921716,0.707788,1.562311,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,53,9.250304,30,,,0.065656,0.066658,0.064719,0.063199,0.061535,0.981865,0.920326,0.721363,1.411223,1.008387,0.970596,0.786158,1.429276,1.060091,1.019455,1.007143,1.174228,1.011481,0.966998,0.784955,1.424212,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,54,9.423206,30,,,0.062689,0.065345,0.063453,0.062065,0.060436,0.939725,1.034820,0.528478,1.344692,0.971353,1.040850,0.544580,1.337967,1.058166,1.018993,1.007187,1.157076,0.975158,1.044702,0.541685,1.395117,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,55,9.596109,30,,,0.059146,0.064890,0.063007,0.061489,0.059877,0.907842,0.836403,0.669217,1.194262,0.932223,0.870982,0.717728,1.192558,1.060653,1.020045,1.007328,1.165280,0.935511,0.858240,0.722816,1.192765,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,56,9.769012,30,,,0.056285,0.064489,0.062600,0.060940,0.059346,0.864404,0.787728,0.489330,1.322096,0.888318,0.819304,0.498524,1.399599,1.064923,1.020198,1.007065,1.169100,0.892552,0.803100,0.500416,1.422364,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,57,9.941915,30,,,0.056676,0.063793,0.061931,0.060264,0.058690,0.883793,0.837940,0.651607,1.111473,0.908687,0.861117,0.675046,1.230545,1.064700,1.021438,1.007480,1.174494,0.912129,0.861422,0.668870,1.244764,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,58,10.114818,30,,,0.057241,0.063095,0.061237,0.059451,0.057902,0.916955,0.935688,0.482348,1.285817,0.942576,0.952985,0.541618,1.366505,1.067900,1.020824,1.007246,1.178968,0.949633,0.952724,0.571430,1.394704,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,59,10.287721,30,,,0.060909,0.062668,0.060847,0.059270,0.057726,0.953212,0.881064,0.626817,1.316568,0.985007,0.885366,0.644321,1.382958,1.063757,1.020908,1.006675,1.180986,0.991064,0.887876,0.651374,1.406607,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,60,10.460624,30,,,0.056340,0.062050,0.060257,0.058730,0.057203,0.920207,0.913502,0.678375,1.173778,0.948870,0.952182,0.769468,1.227213,1.062830,1.019767,1.006765,1.163636,0.948407,0.943979,0.774742,1.205010,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,61,10.633527,30,,,0.050588,0.061390,0.059621,0.058161,0.056651,0.817544,0.835682,0.535332,1.091300,0.843568,0.857910,0.567529,1.138547,1.061482,1.019606,1.007134,1.154662,0.850073,0.858004,0.561422,1.139804,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,63,10.979332,30,,,0.052693,0.060584,0.058843,0.057523,0.056032,0.857693,0.826068,0.643848,1.159939,0.886708,0.840915,0.649051,1.172213,1.058902,1.019856,1.007890,1.144576,0.891385,0.836621,0.648574,1.173412,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,64,11.152235,30,,,0.055977,0.060381,0.058617,0.057077,0.055600,0.935015,0.920257,0.600218,1.275902,0.961628,0.939380,0.655232,1.284382,1.064680,1.020132,1.007338,1.141770,0.969061,0.938532,0.695728,1.284642,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,65,11.325138,30,,,0.050428,0.060087,0.058329,0.056630,0.055166,0.837982,0.827710,0.458665,1.157891,0.867491,0.829984,0.456833,1.186972,1.068434,1.020103,1.007323,1.168267,0.876476,0.837042,0.460759,1.191698,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,66,11.498041,30,,,0.049232,0.059637,0.057928,0.056539,0.055078,0.837095,0.781858,0.485819,1.391465,0.861336,0.793532,0.502791,1.377919,1.060539,1.020192,1.006914,1.148733,0.864252,0.807986,0.485554,1.379979,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,67,11.670944,30,,,0.048117,0.059353,0.057651,0.056241,0.054789,0.819946,0.871598,0.487399,1.053352,0.843816,0.900854,0.501646,1.117214,1.061437,1.020701,1.006505,1.148345,0.845994,0.907255,0.500633,1.122158,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,68,11.843847,30,,,0.048162,0.059238,0.057514,0.055939,0.054496,0.813039,0.787750,0.577867,1.064586,0.838438,0.789071,0.607797,1.076676,1.066607,1.019647,1.006542,1.181869,0.840165,0.790686,0.605177,1.130605,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,70,12.189652,30,,,0.054518,0.058931,0.057218,0.055615,0.054182,0.922024,0.939388,0.669854,1.158169,0.952415,0.944395,0.683523,1.222065,1.066438,1.019452,1.007011,1.145773,0.957548,0.945240,0.683808,1.221291,0.970030,17.465490
