tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file
0,6,4587,1.0243343,0.9580055,244.94386,245.58281,2.5597398,53.180492,2023,6,20230701_0645.nc
0,7,4597,1.003628,0.9799188,247.22253,248.31953,2.9152038,54.959194,2023,6,20230701_0645.nc
1,0,4144,0.9351045,1.1721888,249.10083,250.17165,18.764347,41.390198,2023,6,20230701_0645.nc
1,1,4252,0.8542689,1.0122274,247.90585,248.76158,15.88176,43.092834,2023,6,20230701_0645.nc
1,2,3725,1.1420559,1.4109411,250.15247,249.9901,12.832261,44.953552,2023,6,20230701_0645.nc
1,3,4249,0.89762944,1.0586493,246.72282,247.85902,10.147227,46.530712,2023,6,20230701_0645.nc
1,4,4424,1.0041852,1.0427902,245.2297,246.38698,7.202545,48.315674,2023,6,20230701_0645.nc
1,5,4514,1.0684175,1.0706133,246.3326,247.26756,4.295211,50.135582,2023,6,20230701_0645.nc
1,6,4325,1.0100136,1.0713114,248.52618,250.08456,1.8709667,51.90514,2023,6,20230701_0645.nc
1,7,4638,1.1496345,1.0485187,248.953,249.7759,2.2383466,53.75079,2023,6,20230701_0645.nc
2,0,4112,1.4025865,1.533729,258.08505,257.82144,19.126938,39.962646,2023,6,20230701_0645.nc
2,1,4021,1.2327048,1.4641995,258.1336,258.12076,16.263166,41.685863,2023,6,20230701_0645.nc
2,2,4022,1.3184031,1.5349851,256.00726,255.95647,13.554892,43.467392,2023,6,20230701_0645.nc
2,3,4176,1.0029209,1.1704911,249.62012,251.12149,10.641071,45.35791,2023,6,20230701_0645.nc
2,4,4547,1.0254302,1.0881792,247.86882,249.41069,8.098096,47.091927,2023,6,20230701_0645.nc
2,5,4446,1.0709903,1.1335061,249.3143,250.87433,5.708254,48.920506,2023,6,20230701_0645.nc
2,6,4436,1.108068,1.107918,249.90082,251.50952,4.0666933,50.77343,2023,6,20230701_0645.nc
2,7,4597,1.1809131,1.1109445,248.81758,249.3233,4.322771,52.581345,2023,6,20230701_0645.nc
3,0,4127,0.77724284,1.1341125,262.7567,263.03256,19.976572,38.608917,2023,6,20230701_0645.nc
3,1,3983,1.0074623,1.5070237,265.80722,265.72418,17.339903,40.3646,2023,6,20230701_0645.nc
3,2,3888,1.0078894,1.371287,262.0515,262.74313,14.666628,42.21028,2023,6,20230701_0645.nc
3,3,4417,1.0022054,1.0149735,256.02,256.49017,12.093903,44.093548,2023,6,20230701_0645.nc
3,4,4573,1.5009638,1.5772889,262.1316,261.5144,9.847434,45.92276,2023,6,20230701_0645.nc
3,5,4326,1.0573432,1.0717069,253.76978,254.7165,7.9467316,47.778324,2023,6,20230701_0645.nc
3,6,4527,1.10274,1.0627239,252.40106,253.24716,6.942246,49.639977,2023,6,20230701_0645.nc
3,7,4571,1.1395619,1.0692,252.25522,252.55199,7.0651636,51.5038,2023,6,20230701_0645.nc
0,0,3568,1.1194777,1.2694769,251.21335,250.73982,18.817451,55.32137,2023,7,20230701_0745.nc
0,1,4141,1.0601696,1.0576667,246.30408,247.36926,16.032278,57.16431,2023,7,20230701_0745.nc
0,2,4367,1.3139552,1.214523,242.86238,244.20699,13.087818,59.01151,2023,7,20230701_0745.nc
0,3,4303,1.0768828,1.0451558,245.628,246.62808,10.173221,60.85204,2023,7,20230701_0745.nc
