year,file,rows,rows_in_region,good_error_rows
2023,20230721_0145.nc,1423360,144304,135500
2023,20230721_0245.nc,1423360,144328,135394
2023,20230721_0345.nc,1423360,144364,136353
2023,20230721_0445.nc,1423360,144379,137356
2023,20230721_0545.nc,1423360,144387,137131
2023,20230721_0645.nc,1423360,144392,137626
2023,20230721_0745.nc,1423360,144414,137583
2023,20230722_0045.nc,1423360,144427,140794
2023,20230722_0145.nc,1423360,144315,140108
2023,20230722_0245.nc,1423360,144361,139723
2023,20230722_0345.nc,1423360,144350,139022
2023,20230722_0445.nc,1423360,144370,139241
2023,20230722_0545.nc,1423360,144377,140808
2023,20230722_0645.nc,1423360,144409,141637
2023,20230722_0745.nc,1423360,144403,141674
2023,20230723_0045.nc,1423360,144417,142610
2023,20230723_0145.nc,1423360,144319,142361
2023,20230723_0245.nc,1423360,144348,143118
2023,20230723_0345.nc,1423360,144367,143275
2023,20230723_0445.nc,1423360,144369,143331
2023,20230723_0545.nc,1423360,144389,142872
2023,20230723_0645.nc,1423360,144428,142436
2023,20230723_0745.nc,1423360,144420,140847
2023,20230724_0045.nc,1423360,144399,142506
2023,20230724_0145.nc,1423360,144282,142078
2023,20230724_0245.nc,1423360,144348,142262
2023,20230724_0345.nc,1423360,144363,142058
2023,20230724_0445.nc,1423360,144363,142191
2023,20230724_0545.nc,1423360,144386,141516
2023,20230724_0645.nc,1423360,144413,141630
2023,20230724_0745.nc,1423360,144425,141041
2023,20230725_0045.nc,1423360,144346,139053
2023,20230725_0145.nc,1423360,144299,137821
2023,20230725_0245.nc,1423360,144367,137713
2023,20230725_0345.nc,1423360,144379,139770
2023,20230725_0445.nc,1423360,144386,141210
2023,20230725_0545.nc,1423360,144389,141677
2023,20230725_0645.nc,1423360,144415,143096
2023,20230725_0745.nc,1423360,144431,142901
2023,20230726_0045.nc,1423360,144307,143504
2023,20230726_0145.nc,1423360,144350,143207
2023,20230726_0245.nc,1423360,144393,143096
2023,20230726_0345.nc,1423360,144360,143122
2023,20230726_0445.nc,1423360,144411,143510
2023,20230726_0545.nc,1423360,144411,143402
2023,20230726_0645.nc,1423360,144394,143763
2023,20230726_0745.nc,1423360,144357,143855
2023,20230727_0045.nc,1423360,144338,143433
2023,20230727_0145.nc,1423360,144379,143296
2023,20230727_0245.nc,1423360,144421,143316
2023,20230727_0345.nc,1423360,144354,143406
2023,20230727_0445.nc,1423360,144407,143147
2023,20230727_0545.nc,1423360,144394,143073
2023,20230727_0645.nc,1423360,144406,143342
2023,20230727_0745.nc,1423360,144375,143477
2023,20230728_0045.nc,1423360,144377,140496
2023,20230728_0145.nc,1423360,144409,139902
2023,20230728_0245.nc,1423360,144449,140263
2023,20230728_0345.nc,1423360,144359,141150
2023,20230728_0445.nc,1423360,144436,142373
2023,20230728_0545.nc,1423360,144393,143197
2023,20230728_0645.nc,1423360,144430,143531
2023,20230728_0745.nc,1423360,144420,143179
2023,20230729_0045.nc,1423360,144367,143183
2023,20230729_0145.nc,1423360,144401,143404
2023,20230729_0245.nc,1423360,144438,143430
2023,20230729_0345.nc,1423360,144414,143614
2023,20230729_0445.nc,1423360,144413,143417
2023,20230729_0545.nc,1423360,144398,143360
2023,20230729_0645.nc,1423360,144405,143339
2023,20230729_0745.nc,1423360,144438,143049
2023,20230730_0045.nc,1423360,144363,143645
2023,20230730_0145.nc,1423360,144400,143463
2023,20230730_0245.nc,1423360,144428,143556
2023,20230730_0345.nc,1423360,144429,143629
2023,20230730_0445.nc,1423360,144387,143340
2023,20230730_0545.nc,1423360,144410,143267
2023,20230730_0645.nc,1423360,144363,142953
2023,20230730_0745.nc,1423360,144434,142578
2023,20230731_0045.nc,1423360,144348,139768
2023,20230731_0145.nc,1423360,144385,141095
2023,20230731_0245.nc,1423360,144410,142789
2023,20230731_0345.nc,1423360,144408,143480
2023,20230731_0445.nc,1423360,144336,143262
2023,20230731_0545.nc,1423360,144412,140510
2023,20230731_0645.nc,1423360,144429,140177
2023,20230731_0745.nc,1423360,144379,142117
2024,20240630_2345.nc,710656,103586,91717
2024,20240701_0045.nc,1423360,144113,125833
2024,20240701_0145.nc,1423360,144126,124626
2024,20240701_0245.nc,1423360,144192,124562
2024,20240701_0345.nc,1423360,144198,125511
2024,20240701_0445.nc,1423360,144202,127769
2024,20240701_0545.nc,1423360,144208,130388
2024,20240701_0645.nc,1423360,144222,131482
2024,20240701_0745.nc,1423360,144236,131785
2024,20240701_2345.nc,710656,103568,97573
2024,20240702_0045.nc,1423360,144111,134380
2024,20240702_0145.nc,1423360,144107,134359
2024,20240702_0245.nc,1423360,144187,134426
2024,20240702_0345.nc,1423360,144191,134829
2024,20240702_0445.nc,1423360,144167,135007
2024,20240702_0545.nc,1423360,144221,135508
2024,20240702_0645.nc,1423360,144181,135329
2024,20240702_0745.nc,1423360,144243,135118
2024,20240702_2345.nc,710656,103526,94389
2024,20240703_0045.nc,1423360,144115,133255
2024,20240703_0145.nc,1423360,144146,133496
2024,20240703_0245.nc,1423360,144161,133691
