date,time_index,anchor_rank,anchor_row,anchor_column,row_shift,column_shift,grid_row,grid_column,grid_latitude,grid_longitude,source_latitude,source_longitude,response,true_mean,true_residual
2023-07-04,1,71,110,90,-2,3,108,93,-2.752,125.141,-2.7415373,125.12021,256.672019037,257.7584627,-1.08644366264
2023-07-04,1,72,110,91,-2,3,108,94,-2.752,125.078,-2.741473,125.05791,256.779586632,257.758527,-0.978940367699
2023-07-04,1,73,22,99,-2,3,20,102,1.12,124.574,1.1228529,124.545525,259.126515009,261.6228529,-2.49633789062
2023-07-04,1,74,22,100,-2,3,20,103,1.12,124.511,1.123,124.483215,257.979734276,261.623,-3.64326572418
2023-07-04,1,75,51,19,-2,3,49,22,-0.156,129.614,-0.14546604,129.6275,258.533999612,260.35453396,-1.82053434849
2023-07-04,1,76,51,20,-2,3,49,23,-0.156,129.551,-0.14537993,129.56558,259.15064475,260.35462007,-1.20397531986
2023-07-04,1,77,65,79,-2,3,63,82,-0.772,125.834,-0.7669523,125.83148,259.758926476,259.7330477,0.0258787758648
2023-07-04,1,78,65,80,-2,3,63,83,-0.772,125.771,-0.76675206,125.7693,257.104778711,259.73324794,-2.62846922874
2023-07-04,1,79,75,90,-2,3,73,93,-1.212,125.141,-1.2216803,125.142075,261.880117281,259.2783197,2.60179758072
2023-07-04,1,80,75,91,-2,3,73,94,-1.212,125.078,-1.2215967,125.07983,263.204987067,259.2784033,3.92658376694
2023-07-04,1,81,27,3,-2,3,25,6,0.9,130.622,0.8926967,130.63358,264.783949695,261.3926967,3.39125299454
2023-07-04,1,82,27,4,-2,3,25,7,0.9,130.559,0.8926448,130.57127,263.213344015,261.3926448,1.82069921494
2023-07-04,1,83,38,44,-2,3,36,47,0.416,128.039,0.42166764,128.01958,259.66539139,260.92166764,-1.25627624989
2023-07-04,1,84,38,45,-2,3,36,48,0.416,127.976,0.42182466,127.95736,260.025545206,260.92182466,-0.896279454231
2023-07-04,1,85,74,14,-2,3,72,17,-1.168,129.929,-1.1659435,129.9261,260.490338687,259.3340565,1.15628218651
2023-07-04,1,86,74,15,-2,3,72,18,-1.168,129.866,-1.1657199,129.86418,261.201562014,259.3342801,1.86728191376
2023-07-04,1,87,45,91,-2,3,43,94,0.108,125.078,0.10169146,125.09563,262.142881131,260.60169146,1.54118967056
