dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,rank,eigenvalue_fraction,ranked_periodogram_fraction
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,14,0.02306325626530332,0.021076850642664336
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,15,0.01962578183943126,0.021076850642664336
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,16,0.016954523747614993,0.015690416878916175
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,17,0.01571075773413963,0.01569041687891617
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,18,0.01444057426311248,0.01267776237326293
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,19,0.012552247391920924,0.01267776237326293
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,20,0.011383822274819625,0.011054307659432314
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,21,0.010986322353994802,0.011054307659432314
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,22,0.010273293444830517,0.009195847659990361
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,23,0.009073067248942239,0.009195847659990361
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,24,0.008150510412785248,0.007646184091566135
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,25,0.007674321492906676,0.0076461840915661335
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,26,0.0071836948342467915,0.00631913218727172
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,27,0.006543050461075435,0.006319132187271718
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,28,0.006307718267677129,0.0061673489552570935
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,29,0.006100401280062942,0.0061673489552570935
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,30,0.005937514935516208,0.006056301119696552
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,31,0.005805450258087356,0.0060563011196965505
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,32,0.005353844178413598,0.004954891807651801
