dataset,direction,rank,eigenvalue_fraction_mean,eigenvalue_fraction_min,eigenvalue_fraction_max,periodogram_fraction_mean,periodogram_fraction_min,periodogram_fraction_max
real,east_west,61,0.001787968359178538,0.0010495522922813587,0.002809272112996909,0.0017946249926383054,0.001054677577198553,0.002800126663294219
real,east_west,62,0.0017535336866429986,0.001039165703854493,0.0027368784009816267,0.0017327468364971748,0.0010239191470643024,0.0027223048947190216
real,east_west,63,0.0017235986076678078,0.0010102429813687412,0.0026969722441462906,0.0017327468364971745,0.0010239191470643024,0.002722304894719021
real,east_west,64,0.0016996709927752267,0.0009970700709930253,0.002691502953370772,0.0016651343150597693,0.001017962808258185,0.0027129693642264866
real,east_west,65,0.0016743557119090816,0.0009908656460608791,0.0026649953776671106,0.001665134315059769,0.0010179628082581849,0.0027129693642264866
real,east_west,66,0.0016493488213590458,0.000979762128611875,0.0026507232800400656,0.0016214268543498058,0.0009861974572454382,0.0026221616597552075
real,east_west,67,0.0016206164969315593,0.000979160568512621,0.002636787679493501,0.0016207942356707764,0.0009861974572454382,0.0026221616597552075
real,east_west,68,0.0016055593259786296,0.0009626058919410265,0.002590339051279587,0.0015879605646051495,0.0009622534693360923,0.002585495070569281
real,east_west,69,0.0015886214807549462,0.0009156402748254549,0.0025591989994592163,0.001583760430419403,0.000962253469336092,0.002585495070569281
real,east_west,70,0.0015695805533367186,0.0008659549561162789,0.0025498570414979327,0.001555632388667354,0.0008811099069400922,0.002551616246170085
real,east_west,71,0.0015462662401660057,0.0008468002306289003,0.0025327034712711942,0.0015512805090123296,0.0008811099069400917,0.002551616246170085
real,east_west,72,0.0015354152178289374,0.0008456736985789309,0.002528528287534631,0.0015261397279313492,0.0008657018013605927,0.002501239492865529
real,east_west,73,0.0015172445436030235,0.0008372040369847763,0.0024853922368815685,0.0015091343049442934,0.0008657018013605927,0.002435354958127323
real,east_west,74,0.001505887279676276,0.0008364364744121635,0.0024754919363826305,0.0014923638135935495,0.0008470437042111141,0.002435354958127322
