dataset,direction,frequency_index,frequency_cycles_per_degree,power_fraction_mean,power_fraction_min,power_fraction_max
simulation,north_south,22,4.345,0.007554479122572902,0.006425670520479733,0.009282873527410309
simulation,north_south,23,4.5424999999999995,0.007377593232960793,0.0052978821107276634,0.009669167619946892
simulation,north_south,24,4.739999999999999,0.006916655984430985,0.005631912644053729,0.00879991093068527
simulation,north_south,25,4.9375,0.006355534159817609,0.005455450008047962,0.007301399908231046
simulation,north_south,26,5.135,0.006044468019117933,0.004604064306493681,0.007241543611315331
simulation,north_south,27,5.3325,0.005588553173342528,0.0042552625359916175,0.00677636358427868
simulation,north_south,28,5.529999999999999,0.00544982453899467,0.0046303838166895294,0.006669400884551318
simulation,north_south,29,5.7275,0.005287360135666183,0.004163509247559718,0.006286401715358552
simulation,north_south,30,5.925,0.005194162014903757,0.0037996326426451487,0.006554362676400632
simulation,north_south,31,6.1225,0.005026901895564276,0.004149284730960013,0.005743465111817367
simulation,north_south,32,6.319999999999999,0.004713132925631534,0.004087838763448197,0.0058953562266634615
simulation,north_south,33,6.517499999999999,0.00474149316681576,0.003969216086008979,0.005743520588785046
simulation,north_south,34,6.715,0.004631962156063489,0.0031628388379442997,0.005942190162430354
simulation,north_south,35,6.9125,0.004545657667272687,0.003583454016425396,0.005404642633839455
simulation,north_south,36,7.109999999999999,0.00445326230548604,0.003469497729212062,0.005219704905118838
simulation,north_south,37,7.307499999999999,0.0044200063918596105,0.0030520838875614732,0.005174332553997561
simulation,north_south,38,7.505,0.004276722756214762,0.003168550565080499,0.005182788038176834
simulation,north_south,39,7.7025,0.004368641122576524,0.0031204498131528744,0.005195448624611861
simulation,north_south,40,7.8999999999999995,0.002134461597396832,0.00151492005709755,0.0025563637607999255
