variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n1_rangetime_long,2518,5.43865841,4.96359578,0.99647887,2138.64935962,2511.10443036,0.80898983,0.68899786,-0.11999197,0.77451625,0.84346341
s05_n1_rangetime_long,2519,5.43813009,0.03350621,0.99817604,2138.68286583,2512.10260641,0.80931141,0.68900866,-0.12030275,0.77483783,0.84378499
s05_n1_rangetime_long,2520,5.43799424,0.09873473,0.99862991,2138.78160056,2513.10123631,0.80963313,0.68904046,-0.12059267,0.77515955,0.84410671
s05_n1_rangetime_long,2521,5.43703666,2.70495143,0.99751610,2141.48655199,2514.09875241,0.80995449,0.68991190,-0.12004259,0.77548092,0.84442807
s05_n1_rangetime_long,2522,5.43585600,1.02595884,0.99804149,2142.51251082,2515.09679390,0.81027603,0.69024243,-0.12003360,0.77580245,0.84474961
s05_n1_rangetime_long,2523,5.43359263,0.01018798,0.99845898,2142.52269880,2516.09525288,0.81059770,0.69024571,-0.12035198,0.77612412,0.84507128
s05_n1_rangetime_long,2524,5.43263205,0.76916995,0.99962714,2143.29186876,2517.09488001,0.81091974,0.69049351,-0.12042623,0.77644616,0.84539332
s05_n1_rangetime_long,2525,5.43186779,2.60544062,0.99891623,2145.89730938,2518.09379624,0.81124156,0.69133290,-0.11990866,0.77676798,0.84571514
s05_n1_rangetime_long,2526,5.43036233,0.30230650,0.99903022,2146.19961588,2519.09282647,0.81156341,0.69143029,-0.12013312,0.77708983,0.84603699
s05_n1_rangetime_long,2527,5.42977791,12.54122471,0.99940545,2158.74084059,2520.09223192,0.81188538,0.69547063,-0.11641475,0.77741180,0.84635896
s05_n1_rangetime_long,2528,5.42943943,1.84902117,0.99635793,2160.58986177,2521.08858984,0.81220638,0.69606632,-0.11614005,0.77773280,0.84667995
s05_n1_rangetime_long,2529,5.42747124,0.62755863,0.99905390,2161.21742040,2522.08764375,0.81252824,0.69626850,-0.11625974,0.77805466,0.84700181
s05_n1_rangetime_long,2530,5.42690552,0.48260514,0.99953111,2161.70002554,2523.08717486,0.81285025,0.69642398,-0.11642627,0.77837667,0.84732383
s05_n1_rangetime_long,2531,5.42585785,0.95816012,0.99871246,2162.65818565,2524.08588732,0.81317200,0.69673266,-0.11643934,0.77869842,0.84764558
s05_n1_rangetime_long,2532,5.42437232,0.12104904,0.99945083,2162.77923470,2525.08533815,0.81349399,0.69677166,-0.11672233,0.77902041,0.84796757
s05_n1_rangetime_long,2533,5.42406110,0.64076651,0.99893126,2163.42000121,2526.08426941,0.81381581,0.69697809,-0.11683772,0.77934223,0.84828939
s05_n1_rangetime_long,2534,5.42369292,0.27936724,0.99943921,2163.69936845,2527.08370862,0.81413779,0.69706810,-0.11706970,0.77966421,0.84861137
s05_n1_rangetime_long,2535,5.42277601,0.16018100,0.99938132,2163.85954945,2528.08308994,0.81445976,0.69711970,-0.11734006,0.77998618,0.84893334
s05_n1_rangetime_long,2536,5.42247400,0.34688155,0.99971421,2164.20643101,2529.08280415,0.81478183,0.69723145,-0.11755038,0.78030825,0.84925541
s05_n1_rangetime_long,2537,5.42116153,0.00172409,0.99972255,2164.20815509,2530.08252670,0.81510391,0.69723201,-0.11787190,0.78063033,0.84957749
s05_n1_rangetime_long,2538,5.41989447,0.83707129,0.99748177,2165.04522639,2531.08000847,0.81542526,0.69750168,-0.11792358,0.78095168,0.84989884
s05_n1_rangetime_long,2539,5.41894697,0.25173982,0.99760118,2165.29696621,2532.07760966,0.81574665,0.69758279,-0.11816387,0.78127307,0.85022023
s05_n1_rangetime_long,2540,5.41725748,0.47772777,0.99903772,2165.77469398,2533.07664737,0.81606851,0.69773669,-0.11833181,0.78159493,0.85054209
s05_n1_rangetime_long,2541,5.41567782,0.67888464,0.99807550,2166.45357862,2534.07472287,0.81639005,0.69795541,-0.11843465,0.78191647,0.85086363
s05_n1_rangetime_long,2542,5.41520692,0.46231660,0.99904918,2166.91589522,2535.07377205,0.81671191,0.69810435,-0.11860756,0.78223833,0.85118549
s05_n1_rangetime_long,2543,5.41338474,0.16048398,0.99903257,2167.07637921,2536.07280462,0.81703376,0.69815605,-0.11887771,0.78256019,0.85150734
