scenario,mode_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
true,0.19607843137254902,0.19528272449400094,0.19607843137254902,0.1908187488125733,0.20244198364481936
true,0.2,0.19924679779374127,0.2,0.19476841259691788,0.20631668639267375
true,0.20392156862745098,0.20297054842808127,0.20392156862745098,0.19861879879797045,0.21017379956795457
true,0.20784313725490197,0.20654907467833608,0.20784313725490197,0.20241246148080821,0.2143796295473359
true,0.21176470588235294,0.21025371477002144,0.21176470588235294,0.20631945012443767,0.21817421140143964
true,0.21568627450980393,0.2141613208397319,0.21568627450980393,0.21013360481762694,0.22205722180452042
true,0.2196078431372549,0.21808744519376821,0.2196078431372549,0.2141315325002565,0.22619547097389495
true,0.2235294117647059,0.22243065243034083,0.2235294117647059,0.21821271622600616,0.2300651822727487
true,0.22745098039215686,0.22641161147789393,0.22745098039215686,0.221980519427484,0.23407728718781393
true,0.23137254901960785,0.23038939530858957,0.23137254901960785,0.2258651704936881,0.2380740897354607
true,0.23529411764705882,0.2341568748137597,0.23529411764705882,0.22947239918506881,0.2416963154232245
true,0.23921568627450981,0.23798308247197958,0.23921568627450981,0.23359851335061438,0.24558861621487588
true,0.24313725490196078,0.24162843216657368,0.24313725490196078,0.23725444688530345,0.2493337684895919
true,0.24705882352941178,0.24543123332844433,0.24705882352941178,0.24144261128961816,0.25347937905113826
true,0.25098039215686274,0.2490617120711939,0.25098039215686274,0.2453166941169396,0.25767739690608804
true,0.2549019607843137,0.2528551141969328,0.2549019607843137,0.24913769091323354,0.26176767565672665
true,0.25882352941176473,0.25693199593852223,0.25882352941176473,0.2530370212174551,0.26570683256618105
true,0.2627450980392157,0.2609130108129514,0.2627450980392157,0.25706056784926634,0.26958560708865525
true,0.26666666666666666,0.26488417765205036,0.26666666666666666,0.26097123668798605,0.2731399537898743
true,0.27058823529411763,0.26921575308026846,0.27058823529411763,0.2649049137027271,0.2770977397664538
true,0.27450980392156865,0.27316204788803006,0.27450980392156865,0.2688669214036089,0.28100697323430895
true,0.2784313725490196,0.2769437090848661,0.2784313725490196,0.27254448077666144,0.28510408275892757
true,0.2823529411764706,0.2807132859976059,0.2823529411764706,0.276295214717324,0.28934550516773405
true,0.28627450980392155,0.2840933689054564,0.28627450980392155,0.28000612262923946,0.2931900458453984
true,0.2901960784313726,0.28771398889471717,0.2901960784313726,0.2837980235282485,0.29680290867405273
true,0.29411764705882354,0.2916559343895105,0.29411764705882354,0.2875859161450074,0.3011299246340203
true,0.2980392156862745,0.29571377799486626,0.2980392156862745,0.2916240241156526,0.305011117255789
true,0.30196078431372547,0.2997200807769644,0.30196078431372547,0.29557384205214676,0.30873467167895036
true,0.3058823529411765,0.30351567037106425,0.3058823529411765,0.2991732772441541,0.3125225768526485
true,0.30980392156862746,0.3072277453705857,0.30980392156862746,0.3033649340884349,0.3164281410323342
true,0.3137254901960784,0.3112282558721704,0.3137254901960784,0.3072297667088259,0.32043574000939745
true,0.3176470588235294,0.3150778704389988,0.3176470588235294,0.3113845923393356,0.3244527172346947
true,0.3215686274509804,0.31892588614922546,0.3215686274509804,0.31513098740311213,0.32832799298142723
true,0.3254901960784314,0.322637332177308,0.3254901960784314,0.3189811128930241,0.3321875935125278
true,0.32941176470588235,0.3267611335858806,0.32941176470588235,0.3227723688805839,0.33584715580762353
true,0.3333333333333333,0.3307371245383458,0.3333333333333333,0.3267811706002976,0.33980960084400474
true,0.33725490196078434,0.3347330766666464,0.33725490196078434,0.33049956803303265,0.34341803640845464
true,0.3411764705882353,0.3383791601988569,0.3411764705882353,0.33428353023410945,0.34736132214933335
true,0.34509803921568627,0.3420530452154089,0.34509803921568627,0.3382498751127473,0.35115706950232844
true,0.34901960784313724,0.34557612260516096,0.34901960784313724,0.3420640932840873,0.35528261434220854
true,0.35294117647058826,0.34909775119132336,0.35294117647058826,0.345673602628494,0.3593629136814373
true,0.3568627450980392,0.35306778930022353,0.3568627450980392,0.3497179500634222,0.36310888624188237
true,0.3607843137254902,0.35682031435828565,0.3607843137254902,0.3534543854157983,0.3670993764070585
true,0.36470588235294116,0.3603705437426717,0.36470588235294116,0.35750403481887433,0.37121629854257115
true,0.3686274509803922,0.36410359721504104,0.3686274509803922,0.36138112885423523,0.37533976722211126
true,0.37254901960784315,0.36799139525226743,0.37254901960784315,0.3652850614866894,0.3791931115738089
true,0.3764705882352941,0.37184190924298943,0.3764705882352941,0.36927456065249004,0.3832034209423215
true,0.3803921568627451,0.3753518834822046,0.3803921568627451,0.37308885195919855,0.38745219140044496
true,0.3843137254901961,0.3793173624958709,0.3843137254901961,0.37675612032787004,0.39117934554577427
true,0.38823529411764707,0.38330249509706404,0.38823529411764707,0.3807595670862694,0.39548674861668953
true,0.39215686274509803,0.3872626498225302,0.39215686274509803,0.384815778092218,0.3994414859763664
true,0.396078431372549,0.3912365051290241,0.396078431372549,0.3888772868950355,0.4031974796902331
true,0.4,0.3953011440913163,0.4,0.3927842727000072,0.40689591256493834
true,0.403921568627451,0.3994595852373026,0.403921568627451,0.3965080270411096,0.41107228636581394
true,0.40784313725490196,0.4033164190257284,0.40784313725490196,0.40033824023408976,0.414955176477129
true,0.4117647058823529,0.40728044784550066,0.4117647058823529,0.40432750468934425,0.4187117877865575
true,0.41568627450980394,0.41148929762435876,0.41568627450980394,0.4079405808809966,0.4225813272954891
true,0.4196078431372549,0.4151577625468264,0.4196078431372549,0.4121511717461983,0.42650785833883986
true,0.4235294117647059,0.418786814790164,0.4235294117647059,0.4163350264263477,0.43062003455617315
true,0.42745098039215684,0.4222348538877782,0.42745098039215684,0.4204191010335354,0.43477424294159334
true,0.43137254901960786,0.42612593440963636,0.43137254901960786,0.42421661852315146,0.43868970351632225
true,0.43529411764705883,0.43004404187242756,0.43529411764705883,0.42806981701120295,0.44286691033270653
true,0.4392156862745098,0.4338173345709122,0.4392156862745098,0.4320597181296142,0.4471209111448104
true,0.44313725490196076,0.43777977220563036,0.44313725490196076,0.4359773204190517,0.45084976984701747
true,0.4470588235294118,0.44181151434037413,0.4470588235294118,0.4398868102550017,0.4549995735421942
true,0.45098039215686275,0.44548953813328945,0.45098039215686275,0.44395018216594884,0.4588405402992862
true,0.4549019607843137,0.4493762982666359,0.4549019607843137,0.44771027173513034,0.4628484087948744
true,0.4588235294117647,0.453651432283,0.4588235294117647,0.45156643943668223,0.4668575155342287
true,0.4627450980392157,0.45736346113586646,0.4627450980392157,0.45572878817330875,0.4710979676980057
true,0.4666666666666667,0.4613153543738892,0.4666666666666667,0.45936251772242565,0.4753341462361884
true,0.47058823529411764,0.4655206300408899,0.47058823529411764,0.4634878803385608,0.47936132064683856
true,0.4745098039215686,0.46985966210338853,0.4745098039215686,0.46738800283322307,0.4830321572333659
true,0.47843137254901963,0.47400634197863084,0.47843137254901963,0.47120082850574563,0.48697475645292276
true,0.4823529411764706,0.4777054679691384,0.4823529411764706,0.4750424245678616,0.49090975824898975
true,0.48627450980392156,0.4817335737003341,0.48627450980392156,0.4786183713362154,0.4946533547497676
true,0.49019607843137253,0.48564616806237165,0.49019607843137253,0.4820838967603253,0.49833943003162523
true,0.49411764705882355,0.4895056167731228,0.49411764705882355,0.4857317646416589,0.5021912753817093
true,0.4980392156862745,0.49342991842456874,0.4980392156862745,0.48954172513768746,0.5059002091643662
true,0.5019607843137255,0.4974571349596934,0.5019607843137255,0.49378833047737514,0.5101606090076168
