pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
1,2,3,13.4644946357,13.5784412478,1.00846274704,1.78041443986e-05
2,2,3,13.5411120613,13.6802540959,1.01027552493,2.62171593747e-05
3,2,3,13.9529910083,14.0951305163,1.01018702785,2.57690253464e-05
4,2,3,13.1332224325,13.8780229816,1.05671118059,0.000774877757471
5,2,3,12.8403133448,13.3813286082,1.04213411689,0.000431735407274
6,2,3,14.102482613,14.5584987394,1.03233587581,0.000255900322743
7,2,3,13.2648260747,13.5868802109,1.0242788058,0.000145022476308
8,2,3,13.0420097228,13.5401869072,1.03819788475,0.000355738880857
9,2,3,13.7427571847,14.1113015657,1.02681735375,0.00017664153488
10,2,3,13.4277831539,13.5506055445,1.00914688517,2.07896992609e-05
11,2,3,12.6939710915,13.3663726027,1.05297014672,0.000677632331606
12,2,3,13.2749256936,13.5585634127,1.02136642612,0.00011253094056
13,2,3,12.9324935525,13.3947148229,1.03574107874,0.000311945067545
14,2,3,12.8131862585,13.3089053067,1.03868819497,0.000364814489881
15,2,3,12.8252491544,13.3396683378,1.04010987836,0.000391759259055
16,2,3,12.78973776,13.3150139872,1.04107013272,0.000410487414099
17,2,3,13.3914028971,13.9067321497,1.03848209605,0.000360986033484
18,2,3,13.443501265,13.5986307228,1.01153936425,3.30353368314e-05
19,2,3,13.4184205008,13.549402525,1.00976135933,2.36671429851e-05
20,2,3,13.2767075674,13.5647868512,1.02169809664,0.000116026480403
21,2,3,13.4343710487,13.5608815332,1.00941692648,2.20314219084e-05
22,2,3,13.6002047547,14.1054246364,1.03714796143,0.000336680085892
23,2,3,13.4753892126,13.6141743915,1.01029915921,2.63374884655e-05
24,2,3,13.5082266676,14.388164902,1.0651409142,0.00101690499436
25,2,3,12.747316661,13.2918579425,1.04271811048,0.000443619493311
26,2,3,13.1575574493,13.6326888481,1.03611091197,0.000318357988417
27,2,3,13.7413507748,13.7877803801,1.00337882396,2.84770006333e-06
28,2,3,13.4560379302,13.5898407488,1.00994370106,2.45566426043e-05
29,2,3,13.2427307967,13.5437835123,1.02273343166,0.000127276879297
30,2,3,13.8220022272,14.1562771324,1.0241842607,0.000143904090192
31,2,3,13.3324198456,13.6535108225,1.02408347326,0.00014271655478
32,2,3,13.9083850394,14.0736501,1.01188240476,3.50207382985e-05
33,2,3,13.3885137622,13.5348445309,1.01092957525,2.96480722039e-05
34,2,3,12.7213829846,13.3989749679,1.05326401886,0.00068504348723
35,2,3,12.7976675016,13.3137276715,1.04032454897,0.000395909090923
36,2,3,14.844827102,14.9109756758,1.00445600163,4.94929038673e-06
37,2,3,13.2616716603,13.5625913771,1.02269093403,0.000126804989973
38,2,3,13.2838821826,13.5646158898,1.0211334084,0.000110106653322
39,2,3,12.8237201277,13.3350757053,1.03987575934,0.00038725774802
40,2,3,13.4641645073,13.5946509295,1.0096913865,2.33301299998e-05
41,2,3,12.7900088289,13.3137313045,1.04094778062,0.000408077477112
42,2,3,13.4179782598,13.547877061,1.00968095183,2.32800787979e-05
43,2,3,13.416332595,13.5647222196,1.01106037164,3.03593035333e-05
44,2,3,13.2121759654,13.8350464527,1.04714367178,0.000538763487736
45,2,3,14.0130628801,14.1002420252,1.00622127696,9.63612638425e-06
46,2,3,12.8539104946,13.3786317065,1.04082191268,0.000405605498067
47,2,3,13.3151803713,13.5985953956,1.02128510591,0.000111681938287
48,2,3,13.8792008981,14.1438818531,1.01907033099,8.97797569346e-05
49,2,3,14.3774591245,14.7150374937,1.02347969598,0.000135703944251
