iter,model,lag2_nbs,limit_A,limit_B,limit_C,extra_current_nbs,lag1_ratio,lag2_ratio,is_quarter_baseline,is_half_baseline,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
9,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.417937,0.034988,0.034401,0.055517,0.030253,0.010317,1.132,63.062,0.0,64.194,1,10.167876,0.316468,0.40639,2.111034,0.078065,-0.121553,2.525792
9,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.402421,0.009836,0.010584,0.006365,0.012137,0.002465,1.126,60.355,0.0,61.481,1,9.918072,0.304836,0.398793,2.012731,0.07874,-0.12514,2.493837
9,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.39827,0.021957,0.018639,0.010275,0.032665,0.009644,1.118,54.404,0.0,55.522,1,9.8329,0.299381,0.388982,2.020551,0.077155,-0.122286,2.47589
9,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.399034,0.041184,0.014833,0.01243,0.074142,0.008022,1.175,52.204,0.0,53.379,1,9.988701,0.307163,0.396234,1.97514,0.073425,-0.117796,2.520055
9,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.395259,0.030466,0.031242,0.00648,0.041917,0.003633,1.128,48.297,0.0,49.425,1,9.662677,0.292617,0.386233,2.01296,0.075262,-0.125695,2.490918
10,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.556509,0.072734,0.047552,0.073543,0.110481,0.020673,1.136,67.036,0.0,68.172,1,10.585599,0.314956,0.411791,2.147085,0.084001,-0.107349,2.551682
10,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.431004,0.070555,0.068881,0.077583,0.084909,0.013182,1.132,60.62,0.0,61.752,1,10.560107,0.323283,0.428491,2.155165,0.081412,-0.111034,2.532955
10,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.420334,0.069976,0.068357,0.080381,0.08228,0.016049,1.152,50.157,0.0,51.309,1,10.504159,0.323353,0.429439,2.160763,0.079864,-0.11134,2.540121
10,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.407587,0.070442,0.061461,0.056482,0.099085,0.024013,1.116,51.748,0.0,52.863,1,10.388913,0.320077,0.429233,2.112963,0.074345,-0.110755,2.560032
10,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.403428,0.079285,0.094155,0.117039,0.041171,0.017872,1.101,57.117,0.0,58.218,4,10.69794,0.330279,0.442965,2.234077,0.081813,-0.119242,2.54468
10,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.400535,0.042347,0.043793,0.06821,0.032145,0.008949,1.114,45.749,0.0,46.862,1,10.353944,0.308859,0.424095,2.13642,0.080761,-0.120399,2.522373
10,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.412382,0.057963,0.059779,0.05087,0.071314,0.006154,1.094,37.978,0.0,39.072,0,10.647458,0.314123,0.426267,2.101739,0.082659,-0.114002,2.484614
