iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
11,Lag1Nbs_03,3,1.385149,0.155287,0.146747,0.051185,0.225282,0.008412,0.097,5.723,0.0,5.82,1,8.327197,0.264607,0.339731,1.897631,0.06408,-0.157349,2.52103
11,Lag1Nbs_05,5,1.379253,0.166153,0.174258,0.110179,0.212143,0.000807,0.099,7.088,0.0,7.187,4,8.233923,0.261893,0.316313,1.779643,0.05927,-0.145052,2.502016
11,Lag1Nbs_07,7,1.384178,0.166049,0.134411,0.149211,0.241355,0.006159,0.104,7.371,0.0,7.475,2,8.562414,0.259197,0.350954,1.701577,0.054381,-0.140885,2.484604
11,Lag1Nbs_09,9,1.380944,0.187843,0.194761,0.182916,0.220157,0.052937,0.108,9.323,0.0,9.431,1,8.270364,0.245678,0.309586,1.634168,0.057982,-0.144341,2.367657
11,Lag1Nbs_11,11,1.382105,0.157062,0.190172,0.106724,0.161823,0.020494,0.112,9.705,0.0,9.817,1,7.974612,0.25006,0.320237,1.786553,0.065216,-0.143008,2.551235
11,Lag1Nbs_13,13,1.382726,0.122984,0.124729,0.066111,0.159609,0.062311,0.113,9.797,0.0,9.91,1,8.264448,0.280286,0.35576,1.867778,0.068133,-0.147438,2.655778
11,Lag1Nbs_15,15,1.385475,0.22737,0.156459,0.109184,0.371762,0.01027,0.119,10.634,0.0,10.753,1,8.51864,0.260093,0.326462,1.781632,0.04504,-0.162832,2.474325
12,Lag1Nbs_03,3,1.396841,0.21962,0.261292,0.33072,0.08204,0.099858,0.095,5.767,0.0,5.862,1,8.194056,0.208056,0.288088,1.338561,0.086886,-0.116198,2.250355
12,Lag1Nbs_05,5,1.390645,0.203343,0.254601,0.255835,0.091462,0.1131,0.098,6.382,0.0,6.48,1,8.475324,0.211853,0.283458,1.48833,0.089617,-0.132014,2.217251
12,Lag1Nbs_07,7,1.395335,0.223684,0.26958,0.343757,0.070068,0.065065,0.16,7.418,0.0,7.578,1,8.000648,0.208237,0.283733,1.312487,0.087445,-0.12171,2.337337
12,Lag1Nbs_09,9,1.388539,0.20889,0.273709,0.262128,0.059737,0.069624,0.109,10.625,0.0,10.734,1,7.889022,0.20914,0.281031,1.475743,0.075401,-0.118201,2.325939
12,Lag1Nbs_11,11,1.385678,0.207857,0.259399,0.258956,0.088103,0.134111,0.113,12.902,0.0,13.015,1,8.391965,0.20882,0.284325,1.482088,0.08524,-0.112645,2.164724
12,Lag1Nbs_13,13,1.394085,0.20315,0.252488,0.279793,0.089646,0.057302,0.114,12.915,0.0,13.029,1,8.137513,0.215303,0.289109,1.440414,0.08992,-0.129329,2.356745
12,Lag1Nbs_15,15,1.403283,0.219275,0.262657,0.29014,0.137592,0.086949,0.118,12.74,0.0,12.858,4,8.488444,0.209595,0.277816,1.419719,0.093505,-0.113807,2.282627
13,Lag1Nbs_03,3,1.407041,0.073297,0.063229,0.081043,0.093535,0.03934,0.095,5.928,0.0,6.022,1,9.487257,0.2781,0.374589,2.162085,0.076082,-0.141482,2.598349
