strategy,frac_index,scaled_cumsum_mean,scaled_cumsum_std,n_curves,n_eigen_mean
heads200_points_x8_plus_432,0.19,0.18061535242752313,0.03444217251129662,8,270.375
heads200_points_x8_plus_432,0.195,0.18428577441391053,0.03567302994417471,8,270.375
heads200_points_x8_plus_432,0.2,0.1916870133873741,0.036710336605318014,8,270.375
heads200_points_x8_plus_432,0.20500000000000002,0.19643549871677268,0.03435035630632337,8,270.375
heads200_points_x8_plus_432,0.21000000000000002,0.20455040503054484,0.030827777064318763,8,270.375
heads200_points_x8_plus_432,0.215,0.2112609575681374,0.037023320306012776,8,270.375
heads200_points_x8_plus_432,0.22,0.21674233623371347,0.042704507042872736,8,270.375
heads200_points_x8_plus_432,0.225,0.22055080701192278,0.04295513448942657,8,270.375
heads200_points_x8_plus_432,0.23,0.22580218946458075,0.0419747866350527,8,270.375
heads200_points_x8_plus_432,0.23500000000000001,0.23092372403878542,0.040913537585498344,8,270.375
heads200_points_x8_plus_432,0.24000000000000002,0.23714191094106754,0.039101543050589514,8,270.375
heads200_points_x8_plus_432,0.245,0.24259760034603944,0.040052304207715064,8,270.375
heads200_points_x8_plus_432,0.25,0.24919745564030246,0.042520502250237534,8,270.375
heads200_points_x8_plus_432,0.255,0.25328411337791035,0.042320100328731396,8,270.375
heads200_points_x8_plus_432,0.26,0.25707676395591444,0.04085175486114712,8,270.375
heads200_points_x8_plus_432,0.265,0.26039953483476563,0.04067976268097858,8,270.375
heads200_points_x8_plus_432,0.27,0.26307194718500954,0.04019119371742193,8,270.375
heads200_points_x8_plus_432,0.275,0.2675548408548846,0.03919223576896238,8,270.375
heads200_points_x8_plus_432,0.28,0.2720533649981773,0.03878043310589969,8,270.375
heads200_points_x8_plus_432,0.28500000000000003,0.27569320144429266,0.03825381913479145,8,270.375
heads200_points_x8_plus_432,0.29000000000000004,0.2787353796022497,0.03847699273307486,8,270.375
heads200_points_x8_plus_432,0.295,0.28365800471169444,0.037760255559195724,8,270.375
heads200_points_x8_plus_432,0.3,0.2887521913001322,0.03898360359449232,8,270.375
heads200_points_x8_plus_432,0.305,0.2922129429899737,0.039187218381026186,8,270.375
heads200_points_x8_plus_432,0.31,0.2985592512567615,0.04223132753386187,8,270.375
heads200_points_x8_plus_432,0.315,0.30206863565488556,0.0417158573751855,8,270.375
heads200_points_x8_plus_432,0.32,0.3062941342111162,0.039980649433100084,8,270.375
heads200_points_x8_plus_432,0.325,0.310038032997145,0.04030679204335313,8,270.375
heads200_points_x8_plus_432,0.33,0.3141601332467773,0.03992886680363754,8,270.375
heads200_points_x8_plus_432,0.335,0.31973633453488437,0.04225416494638027,8,270.375
heads200_points_x8_plus_432,0.34,0.32291288259069534,0.042913524234583625,8,270.375
heads200_points_x8_plus_432,0.34500000000000003,0.32841950832159766,0.047838706154594575,8,270.375
heads200_points_x8_plus_432,0.35000000000000003,0.32972906124039264,0.04798211959223887,8,270.375
heads200_points_x8_plus_432,0.35500000000000004,0.3333558711536758,0.04610229093075514,8,270.375
heads200_points_x8_plus_432,0.36,0.34015884417931425,0.04795441107713666,8,270.375
heads200_points_x8_plus_432,0.365,0.3441766288762083,0.04832679195324177,8,270.375
heads200_points_x8_plus_432,0.37,0.3469291844595836,0.04864518768529114,8,270.375
heads200_points_x8_plus_432,0.375,0.35063877021629336,0.048706620974980935,8,270.375
heads200_points_x8_plus_432,0.38,0.3562075034208887,0.04652100051666917,8,270.375
heads200_points_x8_plus_432,0.385,0.3599240064984314,0.04644613497999328,8,270.375
heads200_points_x8_plus_432,0.39,0.36326104831603595,0.04552227056097921,8,270.375
heads200_points_x8_plus_432,0.395,0.3677744636991632,0.04328194265150094,8,270.375
