date,method,residual_lanczos_steps,frequency_bin,mode_fraction_lower,mode_fraction_upper,precision_lower,precision_upper,estimated_mode_count,estimated_residual_energy,energy_per_mode,known_parameter_chi2_standard_error
2024-07-13,true,128,12,0.9166666666666666,1.0,0.5094990529294026,inf,11524.135151298702,10565.0545857939,0.9167763521589106,0.013173792736011655
2024-07-13,true,256,1,0.0,0.08333333333333333,-inf,0.08122106412286233,11648.794913580134,11518.286966434669,0.988796442197354,0.013103113358017367
2024-07-13,true,256,2,0.08333333333333333,0.16666666666666666,0.08122106412286233,0.1744922162926016,11679.095553506815,11639.582265180019,0.9966167510021843,0.013086104739013688
2024-07-13,true,256,3,0.16666666666666666,0.25,0.1744922162926016,0.2524719097608967,11672.211417936825,11246.100157790195,0.9634935279280651,0.013089963186946116
2024-07-13,true,256,4,0.25,0.3333333333333333,0.2524719097608967,0.3191152894024036,11603.969436939471,12309.93061150828,1.0608379036505808,0.013128397256331303
2024-07-13,true,256,5,0.3333333333333333,0.41666666666666663,0.3191152894024036,0.3660840258436464,11657.825009470493,10763.974497833398,0.923326134084964,0.013098037570215873
2024-07-13,true,256,6,0.41666666666666663,0.5,0.3660840258436464,0.40223040455153575,11622.169607605734,10607.997044439835,0.9127381033484309,0.013118113776743712
2024-07-13,true,256,7,0.5,0.5833333333333333,0.40223040455153575,0.42805064887392996,11876.560278844365,11579.611141371657,0.9749970420306239,0.01297686119122157
2024-07-13,true,256,8,0.5833333333333333,0.6666666666666666,0.42805064887392996,0.44841420269198984,11558.166617291514,12950.406130392104,1.1204550478635376,0.013154384209205002
2024-07-13,true,256,9,0.6666666666666666,0.75,0.44841420269198984,0.46771430151744925,11578.510523349149,12935.069668910393,1.1171618009782533,0.013142822738906443
2024-07-13,true,256,10,0.75,0.8333333333333333,0.46771430151744925,0.4860986474032572,11617.5680812543,9365.102183624433,0.8061155414045417,0.013120711453372572
2024-07-13,true,256,11,0.8333333333333333,0.9166666666666666,0.4860986474032572,0.5094990529294026,11698.99340892215,12973.791518933373,1.1089664781791404,0.013074971463601382
2024-07-13,true,256,12,0.9166666666666666,1.0,0.5094990529294026,inf,11524.135151298702,11199.950976684326,0.9718691103186304,0.013173792736011655
2024-07-13,true,512,1,0.0,0.08333333333333333,-inf,0.08122106412286233,11648.794913580134,11703.218011862644,1.004671993857413,0.013103113358017367
2024-07-13,true,512,2,0.08333333333333333,0.16666666666666666,0.08122106412286233,0.1744922162926016,11679.095553506815,11494.394267646743,0.9841853091265605,0.013086104739013688
2024-07-13,true,512,3,0.16666666666666666,0.25,0.1744922162926016,0.2524719097608967,11672.211417936825,11244.708752194845,0.9633743212460124,0.013089963186946116
2024-07-13,true,512,4,0.25,0.3333333333333333,0.2524719097608967,0.3191152894024036,11603.969436939471,11950.688843114112,1.0298793794708656,0.013128397256331303
2024-07-13,true,512,5,0.3333333333333333,0.41666666666666663,0.3191152894024036,0.3660840258436464,11657.825009470493,11138.570659262528,0.9554587283831987,0.013098037570215873
2024-07-13,true,512,6,0.41666666666666663,0.5,0.3660840258436464,0.40223040455153575,11622.169607605734,11217.74495404883,0.9652023101356014,0.013118113776743712
2024-07-13,true,512,7,0.5,0.5833333333333333,0.40223040455153575,0.42805064887392996,11876.560278844365,11922.68966367896,1.003884069440271,0.01297686119122157
2024-07-13,true,512,8,0.5833333333333333,0.6666666666666666,0.42805064887392996,0.44841420269198984,11558.166617291514,12133.59941549672,1.0497858196077856,0.013154384209205002
2024-07-13,true,512,9,0.6666666666666666,0.75,0.44841420269198984,0.46771430151744925,11578.510523349149,12082.945096544194,1.0435664477030795,0.013142822738906443
2024-07-13,true,512,10,0.75,0.8333333333333333,0.46771430151744925,0.4860986474032572,11617.5680812543,10233.63603801615,0.8808759257050351,0.013120711453372572
2024-07-13,true,512,11,0.8333333333333333,0.9166666666666666,0.4860986474032572,0.5094990529294026,11698.99340892215,12410.316401159711,1.0608020679535621,0.013074971463601382
2024-07-13,true,512,12,0.9166666666666666,1.0,0.5094990529294026,inf,11524.135151298702,11557.291060077128,1.002877084340224,0.013173792736011655
2024-07-13,wrong_nugget,128,1,0.0,0.08333333333333333,-inf,0.0917190237458115,11720.434807462241,12164.753507166679,1.0379097454150374,0.013063006292838662
2024-07-13,wrong_nugget,128,2,0.08333333333333333,0.16666666666666666,0.0917190237458115,0.21027409618832268,11652.417361257152,13739.087515543648,1.1790761598725785,0.013101076483152828
2024-07-13,wrong_nugget,128,3,0.16666666666666666,0.25,0.21027409618832268,0.3462112793593158,11669.547302641673,15535.372296968777,1.3312746325174059,0.013091457297219099
