fit_id,year,month,day_idx,day,model_variant,model_family,model_label,smooth,gc_alpha,gc_beta,nugget_mode,loss,direction,bin_idx,k_min,k_max,k_mid,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,whitened_ratio_mean,whitened_ratio_median,n,global_scale,profile_sigmasq,strategy,loss_label
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,30,5.187086121263683,5.3599889919724735,5.273537556618079,0.14052504442293598,0.14306810874120787,0.133374699448039,0.12317350588043674,0.11482803170678034,0.9785661170168902,0.9497534431603496,0.5915043585415856,1.3738421415788618,1.0496863664489586,1.0187796444582677,0.6344937251138466,1.473690270479169,1.169560211032815,1.1198983130516944,1.0563286904943296,1.0322365203573671,276,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,31,5.3599889919724735,5.532891862681263,5.446440427326868,0.13557534152352788,0.1370703325935598,0.1277832954790651,0.115911350536823,0.10805791504820689,0.9927923587045923,0.9568113090891388,0.6032416834265224,1.4487141390319624,1.064946543237944,1.0263504621197859,0.6470840955508068,1.5540038165836523,1.2174638577693957,1.1176076226108316,1.0775757897402702,1.0498376193600443,314,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,32,5.532891862681263,5.705794733390052,5.619343298035657,0.12811849349005908,0.13033914351433024,0.12150817009808926,0.10958847244457562,0.10216343602964705,0.9793536466470784,0.94828706500974,0.5795242585015444,1.416471138778869,1.0505311321746544,1.0172066928446908,0.6216429351038051,1.519417458860316,1.2293303972982492,1.1229817873767913,1.0749094801321022,1.0255517530169072,298,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,33,5.705794733390052,5.878697604098842,5.792246168744446,0.12153470758327084,0.12218426525712628,0.11390581590357512,0.10427788940721963,0.09721266522032271,0.994112130839531,0.9556573170668194,0.5738216347313256,1.528508596899985,1.0663622338006702,1.0251126002402917,0.61552585591979,1.6395975777876317,1.205588766879477,1.1234064820928769,1.0676642901092706,1.0348968887026206,332,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,34,5.878697604098842,6.051600474807631,5.9651490394532365,0.11820315182710131,0.11779099984360313,0.10981021095513742,0.09917794104539861,0.09245825778498853,1.0081814942006762,0.9898495310662931,0.5246452668620928,1.5212223933512476,1.0814541306566856,1.0617898367088556,0.5627754469222125,1.6317818273796811,1.2284742709414886,1.1273883617530442,1.0939381374366197,1.054742015183776,322,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,35,6.051600474807631,6.22450334551642,6.138051910162026,0.10855560314348241,0.11161339449321388,0.10405116189685176,0.09460650054068566,0.08819654978643256,0.9603365065919289,0.8752075590025354,0.5494242515041448,1.5060785546487065,1.0301318640029808,0.9388159129182042,0.5893553191463814,1.6155373644401518,1.2198527975857616,1.122270400196647,1.0337699089497907,0.9233881800741359,346,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,36,6.22450334551642,6.39740621622521,6.310954780870816,0.11101585949076398,0.10675729042881056,0.09952407737901721,0.09063723777544035,0.08449621969188649,0.9881466447070825,0.9063523683431872,0.5530580090565929,1.483518019509225,1.059963187937974,0.9722242653861959,0.5932531710088733,1.5913371742395162,1.2219451142519446,1.11938223093354,1.084388904824737,0.9940465849390451,334,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,37,6.39740621622521,6.5703090869339995,6.483857651579605,0.09370253982428695,0.09974745395424664,0.09298918402506894,0.08777909728395097,0.08183172910494362,0.9450120124778512,0.8938919347223646,0.5091558822735818,1.3971016433811159,1.013693615974006,0.9588582321009927,0.5461603245053344,1.4986402268568226,1.1397746846531551,1.1172311545196292,1.0259657351315168,0.9688918857409022,346,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,38,6.5703090869339995,6.743211957642789,6.656760522288394,0.0916903655383976,0.09943516274989853,0.09269805173928794,0.08456000930166682,0.07883074659450467,0.9265898369850043,0.8778313591808549,0.5746288193830607,1.3032611454775302,0.9939325532119709,0.9416304057026714,0.6163917051551142,1.3979795872155711,1.2169372320153986,1.1165277194771213,1.0045704389860464,0.9530693342270502,366,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,39,6.743211957642789,6.916114828351578,6.829663392997183,0.09838519024863447,0.09579871294830955,0.08930798526247347,0.08172696117405504,0.07618964826821346,1.0200961580701684,0.9523669629845448,0.6058126559198672,1.5482208074176693,1.0942347287247591,1.0215831097328114,0.6498419212386675,1.6607424327679599,1.2129586464542685,1.114531677318772,1.110406815832022,1.0614082021037512,382,0.9322461911431078,21.793371475209845,standard_432,1.19013
