model,loss,steps,time_s,rmsre,mae_zero_true,sigmasq_est,range_lat_est,range_lon_est,range_time_est,advec_lat_est,advec_lon_est,nugget_est,natural,raw,iter,n1,n2,p_total,init_sigmasq,init_range_lon,init_advec_lat,init_advec_lon,init_nugget
DW_2110,2.04,4,43.08757019042969,0.06897883119587064,,9.493803610068698,0.27978742214761393,0.3727840758184864,1.8567237278701574,0.08916433749551915,-0.11873934520233542,2.5008649956274045,"sigmasq: 9.4938, range_lat: 0.2798, range_lon: 0.3728, range_time: 1.8567, advec_lat: 0.0892, advec_lon: -0.1187, nugget: 2.5009","log_phi1: 3.2374, log_phi2: 0.9868, log_phi3: 0.5739, log_phi4: -3.2111, advec_lat: 0.0892, advec_lon: -0.1187, log_nugget: 0.9166",16,113,158,8,14.54322507822292,0.4293869286884167,0.06584841274675554,-0.2760088641432039,4.392656138388595
DW_Gradient,-65.459,4,84.33010625839233,0.10257550937792063,,8.966243423039565,0.26037899166545725,0.3460143412441484,1.7230866010736723,0.0861629924236156,-0.1206651163863221,2.449373813049289,"sigmasq: 8.9662, range_lat: 0.2604, range_lon: 0.3460, range_time: 1.7231, advec_lat: 0.0862, advec_lon: -0.1207, nugget: 2.4494","log_phi1: 3.2547, log_phi2: 1.0613, log_phi3: 0.5687, log_phi4: -3.2108, advec_lat: 0.0862, advec_lon: -0.1207, log_nugget: 0.8958",16,113,158,16,14.54322507822292,0.4293869286884167,0.06584841274675554,-0.2760088641432039,4.392656138388595
DW_2110,1.972,4,42.69238996505737,0.022579377354075763,,10.084096821067607,0.30812208150241005,0.415253116646505,2.0428337809656583,0.08001951231316384,-0.1294989002110154,2.522517014180134,"sigmasq: 10.0841, range_lat: 0.3081, range_lon: 0.4153, range_time: 2.0428, advec_lat: 0.0800, advec_lon: -0.1295, nugget: 2.5225","log_phi1: 3.1898, log_phi2: 0.8789, log_phi3: 0.5968, log_phi4: -3.1864, advec_lat: 0.0800, advec_lon: -0.1295, log_nugget: 0.9253",17,113,158,8,6.821074223891037,0.35800865088404893,0.15022814590429978,-0.1602251079533477,3.590236485192999
DW_Gradient,-65.397,4,82.71000790596008,0.021323044757014905,,9.98687168980064,0.30295992151818,0.40743049130755205,2.000531860724638,0.07791603090228742,-0.13153827050750957,2.5282739192724955,"sigmasq: 9.9869, range_lat: 0.3030, range_lon: 0.4074, range_time: 2.0005, advec_lat: 0.0779, advec_lon: -0.1315, nugget: 2.5283","log_phi1: 3.1992, log_phi2: 0.8979, log_phi3: 0.5925, log_phi4: -3.1826, advec_lat: 0.0779, advec_lon: -0.1315, log_nugget: 0.9275",17,113,158,16,6.821074223891037,0.35800865088404893,0.15022814590429978,-0.1602251079533477,3.590236485192999
DW_2110,2.026,4,51.58153820037842,0.050559317835792594,,9.728073444127164,0.28561682065663646,0.36790498766358715,1.9180529986780974,0.07575557252486385,-0.13369136591878028,2.4648489577361636,"sigmasq: 9.7281, range_lat: 0.2856, range_lon: 0.3679, range_time: 1.9181, advec_lat: 0.0758, advec_lon: -0.1337, nugget: 2.4648","log_phi1: 3.2749, log_phi2: 0.9999, log_phi3: 0.5063, log_phi4: -3.3025, advec_lat: 0.0758, advec_lon: -0.1337, log_nugget: 0.9021",18,113,158,8,10.623625200024655,0.3555718685265846,-0.06668346436419441,-0.12902862710076246,2.2220297832111595
DW_Gradient,-65.336,4,109.11373591423035,0.04822292056777762,,10.436112057448227,0.30794709870080705,0.40058763172170647,2.0879571913273094,0.07236415200472986,-0.13236304468559357,2.477980831218558,"sigmasq: 10.4361, range_lat: 0.3079, range_lon: 0.4006, range_time: 2.0880, advec_lat: 0.0724, advec_lon: -0.1324, nugget: 2.4780","log_phi1: 3.2601, log_phi2: 0.9148, log_phi3: 0.5260, log_phi4: -3.3020, advec_lat: 0.0724, advec_lon: -0.1324, log_nugget: 0.9074",18,113,158,16,10.623625200024655,0.3555718685265846,-0.06668346436419441,-0.12902862710076246,2.2220297832111595
DW_2110,1.999,4,45.6542751789093,0.04107152496158628,,9.49382433610458,0.2916553134404331,0.386444730626778,1.972908299070239,0.08443228191693947,-0.13377684577469945,2.5404130115683734,"sigmasq: 9.4938, range_lat: 0.2917, range_lon: 0.3864, range_time: 1.9729, advec_lat: 0.0844, advec_lon: -0.1338, nugget: 2.5404","log_phi1: 3.2014, log_phi2: 0.9508, log_phi3: 0.5628, log_phi4: -3.2606, advec_lat: 0.0844, advec_lon: -0.1338, log_nugget: 0.9323",19,113,158,8,12.962452716669128,0.6579511462152767,0.21603843788057508,-0.08514518559100093,1.5763639347248009
DW_Gradient,-65.371,4,88.87139081954956,0.0495224886580138,,9.559620230579046,0.28466248269012656,0.378991583394606,1.92363966284291,0.08645555708708702,-0.13146116301819094,2.5070106577206905,"sigmasq: 9.5596, range_lat: 0.2847, range_lon: 0.3790, range_time: 1.9236, advec_lat: 0.0865, advec_lon: -0.1315, nugget: 2.5070","log_phi1: 3.2278, log_phi2: 0.9702, log_phi3: 0.5724, log_phi4: -3.2489, advec_lat: 0.0865, advec_lon: -0.1315, log_nugget: 0.9191",19,113,158,16,12.962452716669128,0.6579511462152767,0.21603843788057508,-0.08514518559100093,1.5763639347248009
DW_2110,1.89,4,42.97250485420227,0.01659235415360517,,10.009415078765025,0.30363629530126274,0.3953351470425846,2.0014398879611277,0.0804863735635121,-0.13030677222769813,2.4477069348925156,"sigmasq: 10.0094, range_lat: 0.3036, range_lon: 0.3953, range_time: 2.0014, advec_lat: 0.0805, advec_lon: -0.1303, nugget: 2.4477","log_phi1: 3.2315, log_phi2: 0.9280, log_phi3: 0.5278, log_phi4: -3.2438, advec_lat: 0.0805, advec_lon: -0.1303, log_nugget: 0.8952",20,113,158,8,7.105869490057508,0.3521942461457011,0.1704752727200916,-0.33630408003909096,2.438822994438318
DW_Gradient,-65.532,4,87.30613493919373,0.024972237565268205,,9.864259131300368,0.29760285480398074,0.3909764562881003,1.9790964313031847,0.0834017420347622,-0.13097140838407575,2.4710393105578197,"sigmasq: 9.8643, range_lat: 0.2976, range_lon: 0.3910, range_time: 1.9791, advec_lat: 0.0834, advec_lon: -0.1310, nugget: 2.4710","log_phi1: 3.2280, log_phi2: 0.9391, log_phi3: 0.5458, log_phi4: -3.2435, advec_lat: 0.0834, advec_lon: -0.1310, log_nugget: 0.9046",20,113,158,16,7.105869490057508,0.3521942461457011,0.1704752727200916,-0.33630408003909096,2.438822994438318
