model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,valid_rate,n_valid_o3
Corridor_4x4_lag643,2025-07-25,7.2802,0.1536,0.2320,1.9092,0.0027,0.0059,1.9841,1.2466,35.6629,0.9914,143757.0000
Debiased_Whittle,2025-07-25,5.5846,0.1351,0.1671,2.7386,0.0001,0.0001,1.1227,-185824.4320,141.2404,,
Vecchia_mm20,2025-07-25,8.2064,0.2712,0.3746,4.2239,0.0000,-0.0031,2.7818,1.3440,62.5271,,
Corridor_4x4_lag643,2025-07-26,12.5999,0.1860,0.2993,1.0454,0.0073,-0.0116,1.4910,1.2968,25.8819,0.9634,139701.0000
Debiased_Whittle,2025-07-26,10.6778,0.1432,0.2305,0.8937,0.0109,-0.5433,0.8986,220104.1120,113.7936,,
Vecchia_mm20,2025-07-26,14.3429,0.2576,0.4457,1.4490,0.0153,-0.0489,2.2758,1.4672,40.2214,,
Corridor_4x4_lag643,2025-07-27,14.9183,0.1772,0.2215,0.8991,-0.0644,-0.2996,1.3470,1.3873,21.3995,0.9711,140812.0000
Debiased_Whittle,2025-07-27,13.1265,0.1553,0.1721,0.8943,-0.0301,-0.3403,0.9439,487485.6160,70.3424,,
Vecchia_mm20,2025-07-27,16.2961,0.2393,0.3367,1.1000,-0.0444,-0.1700,2.0068,1.5312,33.7775,,
Corridor_4x4_lag643,2025-07-28,15.0563,0.1706,0.2206,1.1562,-0.0317,-0.3378,1.9215,1.4522,24.4258,0.9891,143426.0000
Debiased_Whittle,2025-07-28,15.2846,0.1721,0.2003,1.1908,0.0055,-0.4054,1.3816,626746.8160,83.9143,,
Vecchia_mm20,2025-07-28,18.3450,0.2313,0.3153,1.4376,-0.0326,-0.2702,2.7039,1.6294,43.5285,,
Corridor_4x4_lag643,2025-07-29,13.0023,0.1784,0.2478,0.9061,0.0109,-0.0055,2.1963,1.4126,30.6913,0.9943,144177.0000
Corridor_4x4_lag643,2025-07-30,13.2636,0.1322,0.2735,0.9812,-0.0107,-0.0067,1.9778,1.4225,27.0630,0.9947,144238.0000
