year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2022,7,13,lat,Vecchia_mm20,0.0293,0.0261,-0.0137,hour_dummy_plus_lat_lon_ols,True,8.3900,0.2970,0.3524,1.7356,2.7475
2022,7,13,lon,Corridor_4x4_lag643,0.1766,0.1681,-0.1681,hour_dummy_plus_lat_lon_ols,True,7.8807,0.1667,0.1766,1.1025,1.9613
2022,7,13,lon,Debiased_Whittle,0.2080,0.1989,-0.1989,hour_dummy_plus_lat_lon_ols,True,5.9158,0.1302,0.1335,0.8362,1.9232
2022,7,13,lon,Vecchia_mm20,0.1124,0.0974,-0.0974,hour_dummy_plus_lat_lon_ols,True,8.3900,0.2970,0.3524,1.7356,2.7475
2022,7,14,lat,Corridor_4x4_lag643,0.0857,0.0797,-0.0797,hour_dummy_plus_lat_lon_ols,True,7.7392,0.1629,0.2222,1.1334,2.0607
2022,7,14,lat,Debiased_Whittle,0.1071,0.0975,-0.0975,hour_dummy_plus_lat_lon_ols,True,6.9053,0.1342,0.1800,0.9533,2.0479
2022,7,14,lat,Vecchia_mm20,0.0514,0.0465,-0.0383,hour_dummy_plus_lat_lon_ols,True,8.1865,0.2833,0.4865,2.0510,3.0042
2022,7,14,lon,Corridor_4x4_lag643,0.1625,0.1504,-0.1504,hour_dummy_plus_lat_lon_ols,True,7.7392,0.1629,0.2222,1.1334,2.0607
2022,7,14,lon,Debiased_Whittle,0.1862,0.1748,-0.1748,hour_dummy_plus_lat_lon_ols,True,6.9053,0.1342,0.1800,0.9533,2.0479
2022,7,14,lon,Vecchia_mm20,0.0763,0.0669,-0.0597,hour_dummy_plus_lat_lon_ols,True,8.1865,0.2833,0.4865,2.0510,3.0042
2022,7,15,lat,Corridor_4x4_lag643,0.1011,0.0877,-0.0846,hour_dummy_plus_lat_lon_ols,True,7.3891,0.2587,0.3042,1.6436,1.3242
2022,7,15,lat,Debiased_Whittle,0.1379,0.1227,-0.1197,hour_dummy_plus_lat_lon_ols,True,4.9859,0.1958,0.2401,1.4920,1.1511
2022,7,15,lat,Vecchia_mm20,0.0719,0.0549,0.0456,hour_dummy_plus_lat_lon_ols,True,11.4249,0.6088,0.9107,3.8926,1.9473
2022,7,15,lon,Corridor_4x4_lag643,0.1398,0.1179,-0.1150,hour_dummy_plus_lat_lon_ols,True,7.3891,0.2587,0.3042,1.6436,1.3242
2022,7,15,lon,Debiased_Whittle,0.1774,0.1553,-0.1526,hour_dummy_plus_lat_lon_ols,True,4.9859,0.1958,0.2401,1.4920,1.1511
2022,7,15,lon,Vecchia_mm20,0.1007,0.0976,0.0976,hour_dummy_plus_lat_lon_ols,True,11.4249,0.6088,0.9107,3.8926,1.9473
2022,7,16,lat,Corridor_4x4_lag643,0.1774,0.1628,-0.1628,hour_dummy_plus_lat_lon_ols,True,7.0951,0.2293,0.2434,1.1543,1.4618
2022,7,16,lat,Debiased_Whittle,0.2070,0.1916,-0.1916,hour_dummy_plus_lat_lon_ols,True,3.7550,0.1750,0.1850,0.8729,0.8658
2022,7,16,lat,Vecchia_mm20,0.0973,0.0844,-0.0804,hour_dummy_plus_lat_lon_ols,True,8.8128,0.4696,0.6457,2.3981,2.3046
2022,7,16,lon,Corridor_4x4_lag643,0.2870,0.2723,-0.2723,hour_dummy_plus_lat_lon_ols,True,7.0951,0.2293,0.2434,1.1543,1.4618
2022,7,16,lon,Debiased_Whittle,0.3152,0.3054,-0.3054,hour_dummy_plus_lat_lon_ols,True,3.7550,0.1750,0.1850,0.8729,0.8658
2022,7,16,lon,Vecchia_mm20,0.1577,0.1331,-0.1272,hour_dummy_plus_lat_lon_ols,True,8.8128,0.4696,0.6457,2.3981,2.3046
2022,7,17,lat,Corridor_4x4_lag643,0.0932,0.0882,-0.0882,hour_dummy_plus_lat_lon_ols,True,6.6508,0.2092,0.2238,0.8544,1.4766
2022,7,17,lat,Debiased_Whittle,0.1238,0.1148,-0.1148,hour_dummy_plus_lat_lon_ols,True,5.2310,0.1601,0.1632,0.7636,1.2778
2022,7,17,lat,Vecchia_mm20,0.0521,0.0471,-0.0374,hour_dummy_plus_lat_lon_ols,True,7.0780,0.3561,0.3911,1.3574,2.0265
2022,7,17,lon,Corridor_4x4_lag643,0.1263,0.1220,-0.1220,hour_dummy_plus_lat_lon_ols,True,6.6508,0.2092,0.2238,0.8544,1.4766
2022,7,17,lon,Debiased_Whittle,0.1620,0.1570,-0.1570,hour_dummy_plus_lat_lon_ols,True,5.2310,0.1601,0.1632,0.7636,1.2778
2022,7,17,lon,Vecchia_mm20,0.0755,0.0630,-0.0579,hour_dummy_plus_lat_lon_ols,True,7.0780,0.3561,0.3911,1.3574,2.0265
2022,7,18,lat,Corridor_4x4_lag643,0.1195,0.0968,-0.0893,hour_dummy_plus_lat_lon_ols,True,7.6444,0.3084,0.3780,1.5638,0.6578
2022,7,18,lat,Debiased_Whittle,0.1741,0.1451,-0.1377,hour_dummy_plus_lat_lon_ols,True,4.5187,0.2022,0.2239,1.2366,0.2940
2022,7,18,lat,Vecchia_mm20,0.0523,0.0403,0.0317,hour_dummy_plus_lat_lon_ols,True,10.4509,0.6249,0.7294,2.8237,0.9167
2022,7,18,lon,Corridor_4x4_lag643,0.1112,0.0908,-0.0872,hour_dummy_plus_lat_lon_ols,True,7.6444,0.3084,0.3780,1.5638,0.6578
2022,7,18,lon,Debiased_Whittle,0.1905,0.1650,-0.1624,hour_dummy_plus_lat_lon_ols,True,4.5187,0.2022,0.2239,1.2366,0.2940
2022,7,18,lon,Vecchia_mm20,0.0599,0.0499,0.0499,hour_dummy_plus_lat_lon_ols,True,10.4509,0.6249,0.7294,2.8237,0.9167
2022,7,19,lat,Corridor_4x4_lag643,0.0998,0.0934,-0.0934,hour_dummy_plus_lat_lon_ols,True,6.1156,0.1792,0.2162,1.0894,2.1204
2022,7,19,lat,Debiased_Whittle,0.1199,0.1130,-0.1130,hour_dummy_plus_lat_lon_ols,True,4.2441,0.1402,0.1594,0.8880,1.4991
2022,7,19,lat,Vecchia_mm20,0.0670,0.0599,-0.0449,hour_dummy_plus_lat_lon_ols,True,6.8634,0.3230,0.4290,1.7473,2.8659
2022,7,19,lon,Corridor_4x4_lag643,0.1143,0.1013,-0.1013,hour_dummy_plus_lat_lon_ols,True,6.1156,0.1792,0.2162,1.0894,2.1204
2022,7,19,lon,Debiased_Whittle,0.1444,0.1302,-0.1302,hour_dummy_plus_lat_lon_ols,True,4.2441,0.1402,0.1594,0.8880,1.4991
2022,7,19,lon,Vecchia_mm20,0.0515,0.0458,-0.0266,hour_dummy_plus_lat_lon_ols,True,6.8634,0.3230,0.4290,1.7473,2.8659
2022,7,20,lat,Corridor_4x4_lag643,0.0507,0.0451,-0.0451,hour_dummy_plus_lat_lon_ols,True,6.7750,0.1309,0.1997,0.8787,2.2777
2022,7,20,lat,Debiased_Whittle,0.0505,0.0441,-0.0441,hour_dummy_plus_lat_lon_ols,True,7.0507,0.1250,0.2021,0.8906,1.9019
2022,7,20,lat,Vecchia_mm20,0.0292,0.0274,-0.0161,hour_dummy_plus_lat_lon_ols,True,7.2778,0.1985,0.3409,1.3731,2.7882
2022,7,20,lon,Corridor_4x4_lag643,0.0937,0.0782,-0.0782,hour_dummy_plus_lat_lon_ols,True,6.7750,0.1309,0.1997,0.8787,2.2777
2022,7,20,lon,Debiased_Whittle,0.0885,0.0707,-0.0707,hour_dummy_plus_lat_lon_ols,True,7.0507,0.1250,0.2021,0.8906,1.9019
2022,7,20,lon,Vecchia_mm20,0.0458,0.0391,-0.0234,hour_dummy_plus_lat_lon_ols,True,7.2778,0.1985,0.3409,1.3731,2.7882
2022,7,21,lat,Corridor_4x4_lag643,0.0727,0.0672,-0.0672,hour_dummy_plus_lat_lon_ols,True,7.7699,0.1992,0.2757,1.3788,2.4246
2022,7,21,lat,Debiased_Whittle,0.0440,0.0395,-0.0285,hour_dummy_plus_lat_lon_ols,True,7.9437,0.2734,0.3105,1.2304,1.9617
2022,7,21,lat,Vecchia_mm20,0.0379,0.0302,-0.0205,hour_dummy_plus_lat_lon_ols,True,8.9386,0.3279,0.5422,2.4406,3.0788
2022,7,21,lon,Corridor_4x4_lag643,0.1661,0.1559,-0.1559,hour_dummy_plus_lat_lon_ols,True,7.7699,0.1992,0.2757,1.3788,2.4246
2022,7,21,lon,Debiased_Whittle,0.1484,0.1340,-0.1322,hour_dummy_plus_lat_lon_ols,True,7.9437,0.2734,0.3105,1.2304,1.9617
2022,7,21,lon,Vecchia_mm20,0.0834,0.0746,-0.0625,hour_dummy_plus_lat_lon_ols,True,8.9386,0.3279,0.5422,2.4406,3.0788
