time_index,anchor_index,latitude_grid_index,longitude_grid_index,moving_latitude,moving_longitude,standardized_moving_latitude,standardized_moving_longitude,source_latitude,source_longitude
5,4,0,4,-0.4,0.6,-2,2,0,-0.4
5,5,1,0,-0.2,-0.6,-1,-2,0.2,-1.6
5,6,1,1,-0.2,-0.3,-1,-1,0.2,-1.3
5,7,1,2,-0.2,0,-1,0,0.2,-1
5,8,1,3,-0.2,0.3,-1,1,0.2,-0.7
5,9,1,4,-0.2,0.6,-1,2,0.2,-0.4
5,10,2,0,0,-0.6,0,-2,0.4,-1.6
5,11,2,1,0,-0.3,0,-1,0.4,-1.3
5,12,2,2,0,0,0,0,0.4,-1
5,13,2,3,0,0.3,0,1,0.4,-0.7
5,14,2,4,0,0.6,0,2,0.4,-0.4
5,15,3,0,0.2,-0.6,1,-2,0.6,-1.6
5,16,3,1,0.2,-0.3,1,-1,0.6,-1.3
5,17,3,2,0.2,0,1,0,0.6,-1
5,18,3,3,0.2,0.3,1,1,0.6,-0.7
5,19,3,4,0.2,0.6,1,2,0.6,-0.4
5,20,4,0,0.4,-0.6,2,-2,0.8,-1.6
5,21,4,1,0.4,-0.3,2,-1,0.8,-1.3
5,22,4,2,0.4,0,2,0,0.8,-1
5,23,4,3,0.4,0.3,2,1,0.8,-0.7
5,24,4,4,0.4,0.6,2,2,0.8,-0.4
6,0,0,0,-0.4,-0.6,-2,-2,0.08,-1.8
6,1,0,1,-0.4,-0.3,-2,-1,0.08,-1.5
6,2,0,2,-0.4,0,-2,0,0.08,-1.2
6,3,0,3,-0.4,0.3,-2,1,0.08,-0.9
6,4,0,4,-0.4,0.6,-2,2,0.08,-0.6
6,5,1,0,-0.2,-0.6,-1,-2,0.28,-1.8
6,6,1,1,-0.2,-0.3,-1,-1,0.28,-1.5
6,7,1,2,-0.2,0,-1,0,0.28,-1.2
6,8,1,3,-0.2,0.3,-1,1,0.28,-0.9
6,9,1,4,-0.2,0.6,-1,2,0.28,-0.6
6,10,2,0,0,-0.6,0,-2,0.48,-1.8
6,11,2,1,0,-0.3,0,-1,0.48,-1.5
6,12,2,2,0,0,0,0,0.48,-1.2
6,13,2,3,0,0.3,0,1,0.48,-0.9
6,14,2,4,0,0.6,0,2,0.48,-0.6
6,15,3,0,0.2,-0.6,1,-2,0.68,-1.8
6,16,3,1,0.2,-0.3,1,-1,0.68,-1.5
6,17,3,2,0.2,0,1,0,0.68,-1.2
6,18,3,3,0.2,0.3,1,1,0.68,-0.9
6,19,3,4,0.2,0.6,1,2,0.68,-0.6
6,20,4,0,0.4,-0.6,2,-2,0.88,-1.8
6,21,4,1,0.4,-0.3,2,-1,0.88,-1.5
6,22,4,2,0.4,0,2,0,0.88,-1.2
6,23,4,3,0.4,0.3,2,1,0.88,-0.9
6,24,4,4,0.4,0.6,2,2,0.88,-0.6
7,0,0,0,-0.4,-0.6,-2,-2,0.16,-2
7,1,0,1,-0.4,-0.3,-2,-1,0.16,-1.7
7,2,0,2,-0.4,0,-2,0,0.16,-1.4
7,3,0,3,-0.4,0.3,-2,1,0.16,-1.1
7,4,0,4,-0.4,0.6,-2,2,0.16,-0.8
7,5,1,0,-0.2,-0.6,-1,-2,0.36,-2
7,6,1,1,-0.2,-0.3,-1,-1,0.36,-1.7
7,7,1,2,-0.2,0,-1,0,0.36,-1.4
7,8,1,3,-0.2,0.3,-1,1,0.36,-1.1
7,9,1,4,-0.2,0.6,-1,2,0.36,-0.8
7,10,2,0,0,-0.6,0,-2,0.56,-2
7,11,2,1,0,-0.3,0,-1,0.56,-1.7
7,12,2,2,0,0,0,0,0.56,-1.4
7,13,2,3,0,0.3,0,1,0.56,-1.1
7,14,2,4,0,0.6,0,2,0.56,-0.8
7,15,3,0,0.2,-0.6,1,-2,0.76,-2
7,16,3,1,0.2,-0.3,1,-1,0.76,-1.7
7,17,3,2,0.2,0,1,0,0.76,-1.4
7,18,3,3,0.2,0.3,1,1,0.76,-1.1
7,19,3,4,0.2,0.6,1,2,0.76,-0.8
7,20,4,0,0.4,-0.6,2,-2,0.96,-2
7,21,4,1,0.4,-0.3,2,-1,0.96,-1.7
7,22,4,2,0.4,0,2,0,0.96,-1.4
7,23,4,3,0.4,0.3,2,1,0.96,-1.1
7,24,4,4,0.4,0.6,2,2,0.96,-0.8
