basis,mode,time_index,leading_temporal_factor,time_energy_fraction
fitted_null,48,2,0.67032327108,0.263073689758
fitted_null,48,3,-0.578108831385,0.224271812058
fitted_null,48,4,-0.148283105442,0.131838162263
fitted_null,48,5,0.36236787962,0.204163908023
fitted_null,48,6,-0.127594265414,0.0608249490952
fitted_null,48,7,-0.0112489776342,0.0268449887406
fitted_null,49,0,0.0836484482859,0.0421193047135
fitted_null,49,1,-0.1487706729,0.0622887512675
fitted_null,49,2,0.128572518582,0.0752701925949
fitted_null,49,3,-0.0401540233687,0.0484273744388
fitted_null,49,4,0.156505714601,0.0676126666162
fitted_null,49,5,-0.568895467098,0.255695085206
fitted_null,49,6,0.708608344014,0.342166688495
fitted_null,49,7,-0.320101717372,0.106419936668
fitted_null,50,0,-0.285788308135,0.100795508286
fitted_null,50,1,-0.173339057746,0.0676578190638
fitted_null,50,2,-0.232093894989,0.088567345691
fitted_null,50,3,-0.136745247866,0.104100446438
fitted_null,50,4,0.177502747597,0.105621222666
fitted_null,50,5,-0.0212708472958,0.0856688907598
fitted_null,50,6,-0.346404989225,0.186350298159
fitted_null,50,7,0.814712025306,0.261238468936
fitted_null,51,0,0.133531860159,0.123331680519
fitted_null,51,1,-0.397887198288,0.14645432639
fitted_null,51,2,0.566330990987,0.158647554537
fitted_null,51,3,-0.336093634907,0.117977478525
fitted_null,51,4,-0.0194904054365,0.0883468949585
fitted_null,51,5,0.437941411397,0.10273885215
fitted_null,51,6,-0.365539096589,0.147161713077
fitted_null,51,7,0.253720141353,0.115341499843
fitted_null,52,0,-0.0143851396881,0.0547165028089
fitted_null,52,1,-0.274057104485,0.101239685249
fitted_null,52,2,0.715610303595,0.314353731278
fitted_null,52,3,-0.588207519784,0.226031113547
fitted_null,52,4,-0.0356907871916,0.0926984543191
fitted_null,52,5,0.251716477957,0.0891186314828
fitted_null,52,6,-0.0243822500392,0.0606364169673
fitted_null,52,7,-0.0370144108951,0.0612054643477
fitted_null,53,0,-0.00364587417267,0.00926558720733
fitted_null,53,1,-0.175101444392,0.0285323921525
fitted_null,53,2,0.481880075626,0.178338367719
fitted_null,53,3,-0.357523259294,0.116771821536
fitted_null,53,4,-0.407127608572,0.153445887457
fitted_null,53,5,0.650029142078,0.289866303823
fitted_null,53,6,-0.114106567357,0.154472139452
fitted_null,53,7,-0.089352222277,0.0693075006529
fitted_null,54,0,0.0602596953374,0.0692798352629
fitted_null,54,1,-0.269661476131,0.0838967216728
fitted_null,54,2,0.356621469032,0.160774286075
fitted_null,54,3,-0.361749911014,0.156864741465
fitted_null,54,4,0.609272216909,0.196246044646
fitted_null,54,5,-0.427018760849,0.174745153187
fitted_null,54,6,-0.20564440718,0.0736572944451
fitted_null,54,7,0.264125554418,0.0845359232464
fitted_null,55,0,0.00404086210417,0.0213238308502
fitted_null,55,1,-0.181999166396,0.0546511985699
fitted_null,55,2,0.430506345558,0.178742439885
fitted_null,55,3,-0.242409579353,0.103690661928
fitted_null,55,4,-0.500234644131,0.237963660074
fitted_null,55,5,0.670189442153,0.347477976423
fitted_null,55,6,-0.139169785882,0.0328450466068
fitted_null,55,7,-0.0632853875114,0.0233051856629
fitted_null,56,0,0.00409137837546,0.0611920388575
fitted_null,56,1,-0.0565397068315,0.0424558264564
fitted_null,56,2,0.0464325944844,0.0603627407576
fitted_null,56,3,-0.00316430691233,0.0558032233471
fitted_null,56,4,0.287214059838,0.139488378773
