year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2022,7,19,lon,Vecchia_mm20,0.6816,0.5840,-0.5601,6.8634,0.3230,0.4290,1.7473,0.0110,-0.1879,2.8659
2022,7,20,lat,Corridor_4x4_lag643,1.4200,1.1808,1.1808,6.7750,0.1309,0.1997,0.8787,0.0063,-0.0367,2.2777
2022,7,20,lat,Debiased_Whittle,1.5023,1.2430,1.0304,7.0507,0.1250,0.2021,0.8906,0.0275,-0.3361,1.9019
2022,7,20,lat,Vecchia_mm20,0.7716,0.5812,0.5728,7.2778,0.1985,0.3409,1.3731,0.0080,-0.0864,2.7882
2022,7,20,lon,Corridor_4x4_lag643,0.6580,0.5536,0.3442,6.7750,0.1309,0.1997,0.8787,0.0063,-0.0367,2.2777
2022,7,20,lon,Debiased_Whittle,0.6941,0.5701,0.3036,7.0507,0.1250,0.2021,0.8906,0.0275,-0.3361,1.9019
2022,7,20,lon,Vecchia_mm20,0.4640,0.3868,-0.0177,7.2778,0.1985,0.3409,1.3731,0.0080,-0.0864,2.7882
2022,7,21,lat,Corridor_4x4_lag643,2.9245,2.1533,2.1246,7.7699,0.1992,0.2757,1.3788,0.0263,-0.0250,2.4246
2022,7,21,lat,Debiased_Whittle,3.2012,2.5574,2.5534,7.9437,0.2734,0.3105,1.2304,0.0002,0.0016,1.9617
2022,7,21,lat,Vecchia_mm20,1.7737,1.2505,1.1824,8.9386,0.3279,0.5422,2.4406,0.0207,-0.0636,3.0788
2022,7,21,lon,Corridor_4x4_lag643,0.8633,0.6062,-0.5596,7.7699,0.1992,0.2757,1.3788,0.0263,-0.0250,2.4246
2022,7,21,lon,Debiased_Whittle,0.6614,0.4570,-0.2247,7.9437,0.2734,0.3105,1.2304,0.0002,0.0016,1.9617
2022,7,21,lon,Vecchia_mm20,1.2837,1.1402,-0.9461,8.9386,0.3279,0.5422,2.4406,0.0207,-0.0636,3.0788
2022,7,22,lat,Corridor_4x4_lag643,0.9887,0.8103,0.0329,5.8252,0.1855,0.2188,1.2228,0.0053,-0.2808,2.2176
2022,7,22,lat,Debiased_Whittle,1.5922,1.3094,1.0190,4.7308,0.1543,0.1557,1.1756,-0.0252,-0.3086,2.1122
2022,7,22,lat,Vecchia_mm20,0.6621,0.5732,-0.3099,6.4981,0.3717,0.4927,2.6255,0.0227,-0.0441,3.0067
2022,7,22,lon,Corridor_4x4_lag643,0.7711,0.6172,-0.5710,5.8252,0.1855,0.2188,1.2228,0.0053,-0.2808,2.2176
2022,7,22,lon,Debiased_Whittle,0.7997,0.6782,0.3512,4.7308,0.1543,0.1557,1.1756,-0.0252,-0.3086,2.1122
2022,7,22,lon,Vecchia_mm20,1.0113,0.9015,-0.7650,6.4981,0.3717,0.4927,2.6255,0.0227,-0.0441,3.0067
