year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2023,Corridor_4x4_lag643,2023-07-09,12.3450,0.1775,0.2272,1.0577,0.0344,-0.1328,0.4831,1.1964,20.2952
2023,Debiased_Whittle,2023-07-9,11.5852,0.1465,0.1821,0.8011,-0.0024,-0.1357,0.0000,75272.4640,115.5249
2023,Vecchia_mm20,2023-07-9,13.9093,0.2631,0.3751,1.5679,0.0302,-0.1371,0.9620,1.3389,27.5751
2023,Corridor_4x4_lag643,2023-07-10,11.7093,0.2544,0.2876,1.2348,0.0696,-0.2317,0.8732,1.1369,18.2145
2023,Debiased_Whittle,2023-07-10,8.7519,0.1519,0.1874,0.9627,0.0663,-0.0743,0.8743,105267.1840,82.8115
2023,Vecchia_mm20,2023-07-10,14.9642,0.4569,0.6054,2.4102,0.0535,-0.1990,1.5440,1.2898,29.3329
2023,Corridor_4x4_lag643,2023-07-11,9.4313,0.1918,0.2386,0.9859,-0.0067,-0.2618,0.4785,1.0607,18.0928
2023,Debiased_Whittle,2023-07-11,7.9193,0.1670,0.2069,0.9962,0.0007,-0.2754,0.5295,-199964.8000,68.8609
2023,Vecchia_mm20,2023-07-11,10.7258,0.3083,0.4198,1.4888,-0.0168,-0.1564,0.9203,1.1992,27.8387
2023,Corridor_4x4_lag643,2023-07-12,11.8188,0.2401,0.2902,0.8930,0.0225,-0.1560,0.7256,1.1225,20.2382
2023,Debiased_Whittle,2023-07-12,7.2868,0.2163,0.2306,0.8912,0.0409,-0.2891,0.5297,-422354.2240,75.8323
2023,Vecchia_mm20,2023-07-12,14.1622,0.3968,0.5186,1.5391,0.0165,-0.1402,1.4631,1.3034,24.8105
2023,Corridor_4x4_lag643,2023-07-13,13.8531,0.2476,0.2511,1.2872,0.0064,-0.1798,1.3154,1.2823,20.7592
2023,Debiased_Whittle,2023-07-13,10.7673,0.1939,0.1812,1.0689,0.0613,-0.1303,0.6207,93126.4640,78.4460
2023,Vecchia_mm20,2023-07-13,14.6932,0.4045,0.4118,1.9544,0.0384,-0.1488,1.9375,1.3940,32.7476
2023,Corridor_4x4_lag643,2023-07-14,12.4523,0.2283,0.2527,1.2814,0.0243,-0.2151,0.6172,1.1531,18.4829
2023,Debiased_Whittle,2023-07-14,9.6776,0.1777,0.2273,1.2741,0.0208,-0.2648,0.4717,-103124.7040,71.2145
2023,Vecchia_mm20,2023-07-14,14.8812,0.4615,0.5040,2.2752,0.0433,-0.1561,1.2618,1.2734,27.5071
