replicate,curve_rmse_per_n,curve_max_abs_per_n,endpoint_difference_per_n,band_energy_per_mode_rmse,band_energy_per_mode_max_abs
65,0.012903537294692402,0.024261632009276397,0.006408830270506769,0.14128455645138932,0.2761708305266153
66,0.011705563334168325,0.027491244672721748,-0.005047913845796614,0.12329322648062434,0.2866601961023101
67,0.013996486852684328,0.027463259063062396,0.003912879640766817,0.1535172229072954,0.36739392940395565
68,0.010898059793649592,0.026183985371492538,0.0010549910226256998,0.11469844026820805,0.3137858315483566
69,0.010152831840848088,0.02489533146964618,0.000854182033892954,0.1213479156544701,0.25272991484444063
70,0.007993266252084857,0.02037406247754845,-0.007403666633046555,0.12282844175355807,0.27352314842676406
71,0.009127632611234676,0.022525755729181186,-0.0017008586485924581,0.10005887801546672,0.22826859854089743
72,0.013222033572555369,0.031591213231642004,0.001051278583090891,0.13651982891191178,0.312848281582241
73,0.011156467588238819,0.02729873541778133,0.0021603091196367077,0.1435180158756009,0.40748328116883226
74,0.01269880976490714,0.028441276096646036,-0.00504553579447176,0.13957983220692896,0.3165676980495644
75,0.010477981530120216,0.022764589588143664,0.0017595997790124328,0.1277652362691004,0.23105158155547334
76,0.0072354468877301875,0.01684320102768041,0.00033035384914541053,0.10357711842476662,0.23938653796156162
77,0.008738678601191596,0.02693455354950487,0.004701290432180798,0.14832100526430633,0.3501478878618065
78,0.010158868221513285,0.025871108320380785,0.007023526922174312,0.14908052793266904,0.3866236450599716
79,0.007487239481718602,0.01896194510561358,0.0006805299685998989,0.14167428827795678,0.33936781540172367
80,0.011454165172289503,0.025639847514011577,-0.003338033778696712,0.13126274232671414,0.3108373715094708
81,0.00927446385100185,0.019908036472384795,-0.003473335643743809,0.10435235206439582,0.21534105646282364
82,0.010774415280767915,0.02392918686569445,-0.008419048115399903,0.15291698473013868,0.34763919064257476
83,0.008883904453024194,0.01826755183986677,-0.0019281543272785485,0.12876323937583356,0.2754400304808289
84,0.006544472099137187,0.018395067022263165,-0.0007507678239944937,0.11322858911439991,0.2843484039827914
85,0.013094756582116911,0.026002337164528554,-0.0008244664400069723,0.10901638489676031,0.20318702860719595
