operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
exact_precision,full,512,5,641,800,160,157.17783004131843,0.8507717127712816,0.8596516988976668,0.008879986126385186
exact_precision,full,512,6,801,960,160,154.91761434892135,0.6482239284532085,0.6845877564034843,0.03636382795027582
exact_precision,full,512,7,961,1120,160,174.18084179335347,0.6383480903034894,0.564529903745571,-0.07381818655791839
exact_precision,full,512,8,1121,1280,160,156.53099352747859,0.6142461883754265,0.6481801193691255,0.0339339309936989
exact_precision,full,512,9,1281,1440,160,162.15497602012329,0.5932018363977178,0.5788412127126941,-0.014360623685023777
exact_precision,full,512,10,1441,1600,160,151.92156838808432,0.8608671712265362,0.8676157689966344,0.006748597770098175
exact_precision,full,512,11,1601,1760,160,171.11698415923638,0.8110847998659765,0.7259762000803743,-0.08510859978560215
exact_precision,full,512,12,1761,1920,160,153.58462584190102,0.7807463675692603,0.90689856078533,0.12615219321606974
exact_precision,full,512,13,1921,2080,160,163.60491373756554,0.9560841349551126,0.9228613834464935,-0.033222751508619086
exact_precision,full,512,14,2081,2240,160,157.24175795294013,0.9198206874633883,0.911201150748823,-0.008619536714565279
exact_precision,full,512,15,2241,2400,160,163.56848994378788,0.7928534580087074,0.7947332330239909,0.0018797750152834691
exact_precision,full,512,16,2401,2560,160,156.30444416231603,0.9553786451631623,0.9638378338847798,0.00845918872161755
exact_precision,full,512,17,2561,2720,160,155.30946231369398,0.8756663609983292,0.8769195554067063,0.001253194408377123
exact_precision,full,512,18,2721,2880,160,160.68426090226058,0.8326791166708034,0.8417044450508623,0.009025328380058872
exact_precision,full,512,19,2881,3040,160,164.4555916926929,1.0547110897396266,1.0386657610559014,-0.016045328683725213
exact_precision,full,512,20,3041,3200,160,158.59956967381368,0.9690712530176228,0.9771887844416431,0.008117531424020386
exact_precision,none,64,1,1,160,160,154.79128175779306,2.3437198272475195,2.3701733391647584,0.02645351191723888
exact_precision,none,64,2,161,320,160,164.48376637403487,1.208799289528254,1.1654682755485992,-0.043331013979654776
exact_precision,none,64,3,321,480,160,154.08491631187132,1.0169148561697305,0.9863725341459265,-0.030542322023804025
exact_precision,none,64,4,481,640,160,179.2026468703424,0.8944547446405672,0.9810415523353215,0.08658680769475435
exact_precision,none,64,5,641,800,160,176.91955500050665,0.8507717127712816,0.7411915739931418,-0.10958013877813977
exact_precision,none,64,6,801,960,160,104.37934665324576,0.6482239284532085,1.2375820649702671,0.5893581365170586
exact_precision,none,64,7,961,1120,160,219.7952987467403,0.6383480903034894,0.32363510007025087,-0.3147129902332385
exact_precision,none,64,8,1121,1280,160,117.01213468046535,0.6142461883754265,0.6326294630071595,0.01838327463173295
exact_precision,none,64,9,1281,1440,160,144.88941602303748,0.5932018363977178,1.0797464482406935,0.4865446118429757
exact_precision,none,64,10,1441,1600,160,203.10898636472098,0.8608671712265362,0.46867563316909866,-0.39219153805743756
exact_precision,none,64,11,1601,1760,160,128.44876104650393,0.8110847998659765,0.7283767751711868,-0.08270802469478966
exact_precision,none,64,12,1761,1920,160,131.67199431322024,0.7807463675692603,1.5924810389224484,0.8117346713531881
exact_precision,none,64,13,1921,2080,160,218.82722128788305,0.9560841349551126,0.49055314312758186,-0.4655309918275307
exact_precision,none,64,14,2081,2240,160,186.0758749156612,0.9198206874633883,0.9045954287037871,-0.015225258759601235
exact_precision,none,64,15,2241,2400,160,90.25888521355182,0.7928534580087074,0.8738848537104404,0.08103139570173301
exact_precision,none,64,16,2401,2560,160,168.63863197338833,0.9553786451631623,0.9489020733041611,-0.00647657185900119
exact_precision,none,64,17,2561,2720,160,150.33054650122313,0.8756663609983292,0.9136264034279766,0.037960042429647456
exact_precision,none,64,18,2721,2880,160,201.6523716610468,0.8326791166708034,0.9137088332127372,0.0810297165419338
exact_precision,none,64,19,2881,3040,160,150.4549633965803,1.0547110897396266,1.0799780105947587,0.025266920855132158
exact_precision,none,64,20,3041,3200,160,154.97340090818307,0.9690712530176228,0.8611069031774222,-0.10796434984020054
exact_precision,none,128,1,1,160,160,154.62973196845755,2.3437198272475195,2.3961423980119747,0.05242257076445522
exact_precision,none,128,2,161,320,160,162.79599479372897,1.208799289528254,1.1975426380536096,-0.011256651474644386
exact_precision,none,128,3,321,480,160,153.50259820458575,1.0169148561697305,1.0027381841986895,-0.014176671971041
exact_precision,none,128,4,481,640,160,158.03216643773908,0.8944547446405672,1.0947859828339994,0.20033123819343224
exact_precision,none,128,5,641,800,160,155.08990320167948,0.8507717127712816,0.8335234637385565,-0.01724824903272515
